Time (s),Ego Speed (km/h),Lead Speed (km/h),Smoothed Lead Speed (km/h),Distance Between (m),Ego Distance Covered (m),Lead Vehicle Distance Covered (m),Ego X (m),Ego Y (m),Lead X (m),Lead Y (m),Ego Speed (m/s),Smoothed Lead Speed (m/s),Ego Acceleration (m/s²),Lead Acceleration (m/s²),Ego Pos Vel X (m/s),Ego Pos Vel Y (m/s),Ego Accel X (m/s²),Ego Accel Y (m/s²),Ego Accel Magnitude (m/s²),Ego Jerk (m/s³),RSS Safety Distance (m)
0.0,0.05,1.76,1.76,16.01,0.0,0.0,107.0,133.0,123.0,133.43,0.01,0.49,,,,,,,,,0.0
0.05,0.03,1.76,1.76,16.01,0.0,0.01,107.0,133.0,123.0,133.43,0.01,0.49,-0.13,0.0,0.0,0.0,,,,,0.0
0.1,0.07,1.76,1.76,16.01,0.0,0.03,107.0,133.0,123.0,133.43,0.02,0.49,0.239,0.001,0.02,0.0,0.4,0.0,0.4,,0.0
0.15000000000000002,0.17,1.77,1.76,16.01,0.0,0.04,107.0,133.0,123.0,133.43,0.05,0.49,0.567,0.002,0.02,0.0,-0.0,0.0,0.0,-7.996,0.0
0.2,0.26,1.77,1.77,16.01,0.01,0.06,107.01,133.0,123.0,133.43,0.07,0.49,0.494,0.005,0.08,0.0,1.202,0.0,1.202,24.048,0.0
0.25,0.0,1.78,1.77,16.01,0.01,0.07,107.01,133.0,123.01,133.43,0.0,0.49,-1.448,0.009,0.02,0.0,-1.202,0.0,1.202,-0.0,0.0
0.30000000000000004,0.0,1.79,1.77,16.01,0.01,0.09,107.01,133.0,123.01,133.43,0.0,0.49,-0.002,0.015,0.0,0.0,-0.4,0.0,0.4,-16.052,0.0
0.35000000000000003,0.0,1.8,1.77,16.02,0.01,0.1,107.01,133.0,123.01,133.43,0.0,0.49,0.021,0.021,-0.02,0.0,-0.4,0.0,0.4,0.0,0.0
0.4,0.04,1.82,1.78,16.02,0.01,0.12,107.01,133.0,123.02,133.43,0.01,0.49,0.169,0.029,0.02,0.0,0.8,0.0,0.8,7.996,0.0
0.45,0.01,1.85,1.79,16.03,0.01,0.14,107.01,133.0,123.03,133.43,0.0,0.5,-0.157,0.038,0.0,0.0,-0.4,0.0,0.4,-7.996,0.0
0.5,0.04,1.88,1.8,16.04,0.01,0.15,107.01,133.0,123.04,133.43,0.01,0.5,0.188,0.065,0.0,0.0,0.0,0.0,0.0,-7.996,0.0
0.55,0.01,1.92,1.81,16.05,0.01,0.17,107.01,133.0,123.05,133.43,0.0,0.5,-0.161,0.087,0.02,0.0,0.4,0.0,0.4,7.996,0.0
