Time (s),Ego Speed (km/h),Ego Speed (m/s),Lead Speed (km/h),Smoothed Lead Speed (m/s),Smoothed Lead Speed (km/h),Ego Acceleration (m/s²),Lead Acceleration (m/s²),Lead Acceleration (Theoretical),Ego Distance Covered (m),Lead Vehicle Distance Covered (m),Distance Between (m),Lead Braking Distance (m),Braking Phase,RSS Safety Distance (m)
5.0,7.41,2.058,11.35,2.906,10.46,0.833,0.833,0.0,3.38,6.69,38.49,4.17,,0.0
5.05,7.57,2.103,11.05,2.947,10.61,0.889,0.833,0.0,3.48,6.85,38.54,,,0.0
5.1,7.72,2.144,11.65,2.989,10.76,0.833,0.833,0.0,3.59,7.01,38.6,,,0.0
5.15,7.88,2.189,11.35,3.031,10.91,0.889,0.833,0.0,3.7,7.17,38.65,,,0.0
5.2,8.02,2.228,11.94,3.072,11.06,0.778,0.833,0.0,3.81,7.33,38.7,,,0.0
5.25,8.15,2.264,11.65,3.111,11.2,0.722,0.778,0.0,3.92,7.5,38.75,,,0.0
5.3,8.27,2.297,12.23,3.153,11.35,0.667,0.833,0.0,4.03,7.66,38.81,,,0.0
5.35,8.41,2.336,11.94,3.194,11.5,0.778,0.833,0.0,4.15,7.83,38.86,,,0.0
5.4,8.57,2.381,12.52,3.233,11.64,0.889,0.778,0.0,4.27,8.0,38.92,,,0.0
5.45,8.73,2.425,12.24,3.275,11.79,0.889,0.833,0.0,4.39,8.18,38.97,,,0.0
5.5,8.9,2.472,12.82,3.317,11.94,0.944,0.833,0.0,4.51,8.35,39.02,,,0.0
5.55,9.07,2.519,12.54,3.358,12.09,0.944,0.833,0.0,4.64,8.53,39.07,,,0.0
5.6,9.23,2.564,13.11,3.397,12.23,0.889,0.778,0.0,4.76,8.71,39.13,,,0.0
5.65,9.38,2.606,12.84,3.439,12.38,0.833,0.833,0.0,4.89,8.89,39.18,,,0.0
5.7,9.52,2.644,13.4,3.481,12.53,0.778,0.833,0.0,5.02,9.07,39.23,,,0.0
5.75,9.65,2.681,13.13,3.522,12.68,0.722,0.833,0.0,5.16,9.26,39.28,,,0.0
5.8,9.76,2.711,13.69,3.561,12.82,0.611,0.778,0.0,5.29,9.45,39.33,,,0.0
5.85,9.89,2.747,13.43,3.603,12.97,0.722,0.833,0.0,5.43,9.63,39.39,,,0.0
5.9,10.04,2.789,13.97,3.644,13.12,0.833,0.833,0.0,5.57,9.83,39.44,,,0.0
5.95,10.2,2.833,13.72,3.683,13.26,0.889,0.778,0.0,5.71,10.02,39.49,,,0.0
6.0,10.37,2.881,14.26,3.725,13.41,0.944,0.833,0.0,5.85,10.21,39.54,,,0.0
6.05,10.54,2.928,14.01,3.764,13.55,0.944,0.778,0.0,6.0,10.41,39.6,,,0.0
6.1,10.71,2.975,14.54,3.806,13.7,0.944,0.833,0.0,6.15,10.61,39.65,,,0.0
6.15,10.85,3.014,14.29,3.844,13.84,0.778,0.778,0.0,6.29,10.81,39.7,,,0.0
6.2,10.97,3.047,14.82,3.886,13.99,0.667,0.833,0.0,6.45,11.02,39.75,,,0.0
6.25,11.11,3.086,14.58,3.925,14.13,0.778,0.778,0.0,6.6,11.22,39.8,,,0.0
6.3,11.25,3.125,15.1,3.964,14.27,0.778,0.778,0.0,6.76,11.43,39.86,,,0.0
6.35,11.41,3.169,14.87,4.006,14.42,0.889,0.833,0.0,6.91,11.64,39.91,,,0.0
6.4,11.57,3.214,15.38,4.044,14.56,0.889,0.778,0.0,7.07,11.85,39.96,,,0.0
6.45,11.74,3.261,15.16,4.083,14.7,0.944,0.778,0.0,7.23,12.06,40.01,,,0.0
6.5,11.91,3.308,15.66,4.122,14.84,0.944,0.778,0.0,7.4,12.28,40.06,,,0.0
6.55,12.08,3.356,15.45,4.164,14.99,0.944,0.833,0.0,7.57,12.49,40.11,,,0.0
6.6,12.24,3.4,15.94,4.203,15.13,0.889,0.778,0.0,7.74,12.71,40.16,,,0.0
6.65,12.4,3.444,15.74,4.242,15.27,0.889,0.778,0.0,7.91,12.93,40.21,,,0.0
6.7,12.55,3.486,16.22,4.281,15.41,0.833,0.778,0.0,8.08,13.16,40.26,,,0.0
6.75,12.7,3.528,16.03,4.322,15.56,0.833,0.833,0.0,8.26,13.38,40.31,,,0.0038876666666656234
6.8,12.85,3.569,16.51,4.361,15.7,0.833,0.778,0.0,8.43,13.61,40.36,,,0.03657916666666772
6.85,12.99,3.608,16.33,4.4,15.84,0.778,0.778,0.0,8.61,13.84,40.41,,,0.06271566666666661
6.9,13.14,3.65,16.79,4.439,15.98,0.833,0.778,0.0,8.79,14.07,40.46,,,0.10031066666666622
6.95,13.27,3.686,16.62,4.481,16.13,0.722,0.833,0.0,8.98,14.3,40.51,,,0.10755066666666657
7.0,13.39,3.719,17.07,4.519,16.27,0.667,0.778,0.0,9.16,14.54,40.56,,,0.11579916666666534
7.05,13.54,3.761,16.91,4.561,16.42,0.833,0.833,0.0,9.35,14.77,40.61,,,0.1458431666666682
7.1,13.7,3.806,17.36,4.6,16.56,0.889,0.778,0.0,9.54,15.01,40.66,,,0.19709766666666706
7.15,13.87,3.853,17.21,4.639,16.7,0.944,0.778,0.0,9.73,15.25,40.71,,,0.2570711666666661
7.2,14.05,3.903,17.64,4.681,16.85,1.0,0.833,0.0,9.93,15.5,40.76,,,0.32059116666666565
7.25,14.24,3.956,17.5,4.719,16.99,1.056,0.778,0.0,10.12,15.74,40.8,,,0.40989399999999776
7.3,14.42,4.006,17.93,4.761,17.14,1.0,0.833,0.0,10.32,15.99,40.85,,,0.47632400000000086
7.35,14.6,4.056,17.8,4.8,17.28,1.0,0.778,0.0,10.52,16.24,40.9,,,0.5536810000000028
7.4,14.76,4.1,18.08,4.836,17.41,0.889,0.722,0.0,10.73,16.49,40.94,,,0.6175689999999978
7.45,14.91,4.142,18.23,4.881,17.57,0.833,0.889,0.0,10.93,16.74,40.99,,,0.6449800000000012
7.5,15.05,4.181,18.91,4.933,17.76,0.778,1.056,0.0,11.14,16.99,41.04,,,0.6372471666666684
7.55,15.18,4.217,17.87,4.958,17.85,0.722,0.5,0.0,11.35,17.24,41.08,,,0.706058166666665
7.6,15.32,4.256,18.66,4.994,17.98,0.778,0.722,0.0,11.56,17.5,41.12,,,0.7519356666666699
7.65,15.46,4.294,18.7,5.036,18.13,0.778,0.833,0.0,11.78,17.76,41.17,,,0.774041666666669
7.7,15.61,4.336,19.0,5.075,18.27,0.833,0.778,0.0,11.99,18.03,41.22,,,0.8239126666666703
7.75,15.77,4.381,18.94,5.114,18.41,0.889,0.778,0.0,12.21,18.29,41.26,,,0.8876781666666691
7.8,15.93,4.425,19.21,5.15,18.54,0.889,0.722,0.0,12.43,18.56,41.31,,,0.9583301666666664
7.85,16.11,4.475,19.12,5.186,18.67,1.0,0.722,0.0,12.66,18.82,41.35,,,1.0568981666666666
7.9,16.28,4.522,19.37,5.222,18.8,0.944,0.722,0.0,12.88,19.09,41.4,,,1.143525666666667
7.95,16.45,4.569,19.27,5.253,18.91,0.944,0.611,0.0,13.11,19.36,41.44,,,1.2490165000000015
8.0,16.62,4.617,19.51,5.267,18.96,0.944,0.278,0.0,13.34,19.63,41.48,,,1.420483166666667
8.05,16.78,4.661,19.39,5.311,19.12,0.889,0.889,0.0,13.57,19.9,41.52,,,1.469543166666666
8.1,16.93,4.703,19.61,5.336,19.21,0.833,0.5,0.0,13.81,20.17,41.55,,,1.5775461666666697
8.15,17.06,4.739,19.49,5.358,19.29,0.722,0.444,0.0,14.04,20.44,41.59,,,1.6691515000000017
8.2,17.17,4.769,19.7,5.378,19.36,0.611,0.389,0.0,14.28,20.72,41.62,,,1.7402581666666688
8.25,17.28,4.8,19.57,5.397,19.43,0.611,0.389,0.0,14.52,20.99,41.66,,,1.8203980000000008
8.3,17.41,4.836,20.08,5.419,19.51,0.722,0.444,0.0,14.76,21.27,41.69,,,1.9146006666666704
8.35,17.56,4.878,19.91,5.442,19.59,0.833,0.444,0.0,15.0,21.54,41.73,,,2.0354110000000016
8.4,17.74,4.928,20.08,5.461,19.66,1.0,0.389,0.0,15.25,21.82,41.76,,,2.211608666666667
8.45,17.94,4.983,19.91,5.481,19.73,1.111,0.389,0.0,15.5,22.1,41.79,,,2.411324500000001
8.5,18.15,5.042,20.08,5.494,19.78,1.167,0.278,0.0,15.75,22.38,41.82,,,2.659621666666668
8.55,18.35,5.097,19.91,5.508,19.83,1.111,0.278,0.0,16.0,22.65,41.84,,,2.887211500000003
8.6,18.54,5.15,20.08,5.522,19.88,1.056,0.278,0.0,16.26,22.93,41.86,,,3.107389666666668
8.65,18.71,5.197,19.91,5.533,19.92,0.944,0.222,0.0,16.52,23.21,41.88,,,3.310103166666668
8.7,18.84,5.233,20.08,5.544,19.96,0.722,0.222,0.0,16.78,23.49,41.9,,,3.4572995000000013
8.75,18.91,5.253,19.91,5.553,19.99,0.389,0.167,0.0,17.04,23.77,41.91,,,3.5289085000000036
8.8,18.92,5.256,20.08,5.553,19.99,0.056,0.0,0.0,17.3,24.04,41.93,,,3.5446780000000047
8.85,18.92,5.256,19.91,5.553,19.99,0.0,0.0,0.0,17.57,24.32,41.94,,,3.5446780000000047
8.9,18.94,5.261,20.08,5.553,19.99,0.111,0.0,0.0,17.83,24.6,41.96,,,3.5709805000000028
8.95,18.99,5.275,19.91,5.553,19.99,0.278,0.0,0.0,18.09,24.88,41.97,,,3.6447605000000056
9.0,19.09,5.303,20.08,5.553,19.99,0.556,0.0,0.0,18.36,25.15,41.99,,,3.792908500000003
9.05,19.24,5.344,19.91,5.553,19.99,0.833,0.0,0.0,18.62,25.43,42.0,,,4.0112540000000045
9.1,19.44,5.4,20.08,5.553,19.99,1.111,0.0,0.0,18.89,25.71,42.01,,,4.312198000000006
9.15,19.65,5.458,19.91,5.553,19.99,1.167,0.0,0.0,19.16,25.99,42.01,,,4.627196000000003
9.2,19.87,5.519,20.08,5.553,19.99,1.222,0.0,0.0,19.44,26.27,42.01,,,4.962116500000004
9.25,20.08,5.578,19.91,5.553,19.99,1.167,0.0,0.0,19.72,26.54,42.01,,,5.289596000000005
9.3,20.3,5.639,20.08,5.553,19.99,1.222,0.0,0.0,20.0,26.82,42.01,,,5.631836500000004
9.35,20.5,5.694,19.91,5.553,19.99,1.111,0.0,0.0,20.28,27.1,42.01,,,5.943604000000002
9.4,20.67,5.742,20.08,5.553,19.99,0.944,0.0,0.0,20.57,27.38,42.0,,,6.218164000000003
9.45,20.79,5.775,19.91,5.553,19.99,0.667,0.0,0.0,20.85,27.65,41.99,,,6.408260500000003
9.5,20.85,5.792,20.08,5.553,19.99,0.333,0.0,0.0,21.14,27.93,41.98,,,6.506614000000001
9.55,20.86,5.794,19.91,5.553,19.99,0.056,0.0,0.0,21.43,28.21,41.96,,,6.5182040000000026
9.6,20.83,5.786,20.08,5.553,19.99,-0.167,0.0,0.0,21.72,28.49,41.95,,,6.471867999999999
9.65,20.78,5.772,19.91,5.553,19.99,-0.278,0.0,0.0,22.01,28.76,41.94,,,6.390934000000003
9.7,20.72,5.756,20.08,5.553,19.99,-0.333,0.0,0.0,22.3,29.04,41.93,,,6.298678000000004
9.75,20.69,5.747,19.91,5.553,19.99,-0.167,0.0,0.0,22.59,29.32,41.92,,,6.2468965
9.8,20.67,5.742,20.08,5.553,19.99,-0.111,0.0,0.0,22.87,29.6,41.91,,,6.218164000000003
9.85,20.69,5.747,19.91,5.553,19.99,0.111,0.0,0.0,23.16,29.88,41.9,,,6.2468965
9.9,20.72,5.756,20.08,5.553,19.99,0.167,0.0,0.0,23.45,30.15,41.89,,,6.298678000000004
9.95,20.77,5.769,19.91,5.553,19.99,0.278,0.0,0.0,23.74,30.43,41.88,,,6.3736165000000025
10.0,20.82,5.783,20.08,5.553,19.99,0.278,0.0,0.0,24.03,30.71,41.87,,,6.454508500000005
10.05,20.85,5.792,19.91,5.553,19.99,0.167,0.0,0.0,24.32,30.99,41.86,,,6.506614000000001
10.1,20.86,5.794,20.08,5.553,19.99,0.056,0.0,0.0,24.6,31.26,41.85,,,6.5182040000000026
10.15,20.84,5.789,19.91,5.553,19.99,-0.111,0.0,0.0,24.89,31.54,41.83,,,6.489236499999999
10.2,20.78,5.772,20.08,5.553,19.99,-0.333,0.0,0.0,25.18,31.82,41.82,,,6.390934000000003
10.25,20.7,5.75,19.91,5.553,19.99,-0.444,0.0,0.0,25.47,32.1,41.81,,,6.264148000000004
10.3,20.6,5.722,20.08,5.553,19.99,-0.556,0.0,0.0,25.76,32.38,41.8,,,6.103484000000007
10.35,20.48,5.689,19.91,5.553,19.99,-0.667,0.0,0.0,26.04,32.65,41.8,,,5.915136500000001
10.4,20.37,5.658,20.08,5.553,19.99,-0.611,0.0,0.0,26.33,32.93,41.79,,,5.739196000000005
10.45,20.28,5.633,19.91,5.553,19.99,-0.5,0.0,0.0,26.61,33.21,41.79,,,5.598008500000004
10.5,20.18,5.606,20.08,5.553,19.99,-0.556,0.0,0.0,26.89,33.49,41.78,,,5.446228000000003
10.55,20.08,5.578,19.91,5.553,19.99,-0.556,0.0,0.0,27.17,33.76,41.78,,,5.289596000000005
10.6,19.98,5.55,20.08,5.553,19.99,-0.556,0.0,0.0,27.45,34.04,41.78,,,5.133748000000002
10.65,19.86,5.517,19.91,5.553,19.99,-0.667,0.0,0.0,27.72,34.32,41.78,,,4.9510765000000045
10.7,19.75,5.486,20.08,5.553,19.99,-0.611,0.0,0.0,28.0,34.6,41.79,,,4.780468000000003
10.75,19.67,5.464,19.91,5.553,19.99,-0.444,0.0,0.0,28.27,34.87,41.79,,,4.659974000000005
10.8,19.62,5.45,20.08,5.553,19.99,-0.278,0.0,0.0,28.54,35.15,41.79,,,4.583548000000004
10.85,19.6,5.444,19.91,5.553,19.99,-0.111,0.0,0.0,28.82,35.43,41.8,,,4.550854000000003
10.9,19.62,5.45,20.08,5.553,19.99,0.111,0.0,0.0,29.09,35.71,41.81,,,4.583548000000004
10.95,19.66,5.461,19.91,5.553,19.99,0.222,0.0,0.0,29.36,35.99,41.81,,,4.643580500000004
11.0,19.71,5.475,20.08,5.553,19.99,0.278,0.0,0.0,29.64,36.26,41.81,,,4.7201605
11.05,19.77,5.492,19.91,5.553,19.99,0.333,0.0,0.0,29.91,36.54,41.82,,,4.813414000000003
11.1,19.83,5.508,20.08,5.553,19.99,0.333,0.0,0.0,30.19,36.82,41.82,,,4.9014460000000035
11.15,19.88,5.522,19.91,5.553,19.99,0.278,0.0,0.0,30.46,37.1,41.82,,,4.978684000000005
11.2,19.91,5.531,20.08,5.553,19.99,0.167,0.0,0.0,30.74,37.37,41.82,,,5.028440500000002
11.25,19.93,5.536,19.91,5.553,19.99,0.111,0.0,0.0,31.01,37.65,41.82,,,5.0561180000000014
11.3,19.95,5.542,20.08,5.553,19.99,0.111,0.0,0.0,31.29,37.93,41.83,,,5.089364000000003
11.35,19.97,5.547,19.91,5.553,19.99,0.111,0.0,0.0,31.57,38.21,41.83,,,5.117096500000002
11.4,20.0,5.556,20.08,5.553,19.99,0.167,0.0,0.0,31.85,38.49,41.83,,,5.167078000000004
11.45,20.03,5.564,19.91,5.553,19.99,0.167,0.0,0.0,32.12,38.76,41.82,,,5.211574000000004
11.5,20.09,5.581,20.08,5.553,19.99,0.333,0.0,0.0,32.4,39.04,41.83,,,5.306340500000005
11.55,20.16,5.6,19.91,5.553,19.99,0.389,0.0,0.0,32.68,39.32,41.82,,,5.412598000000001
11.6,20.22,5.617,20.08,5.553,19.99,0.333,0.0,0.0,32.96,39.6,41.82,,,5.507976500000003
11.65,20.25,5.625,19.91,5.553,19.99,0.167,0.0,0.0,33.24,39.87,41.82,,,5.552960500000005
11.7,20.23,5.619,20.08,5.553,19.99,-0.111,0.0,0.0,33.53,40.15,41.81,,,5.519216500000002
11.75,20.16,5.6,19.91,5.553,19.99,-0.389,0.0,0.0,33.81,40.43,41.81,,,5.412598000000001
11.8,20.05,5.569,20.08,5.553,19.99,-0.611,0.0,0.0,34.08,40.71,41.81,,,5.239416500000003
11.85,19.91,5.531,19.91,5.553,19.99,-0.778,0.0,0.0,34.36,40.98,41.81,,,5.028440500000002
11.9,19.78,5.494,20.08,5.553,19.99,-0.722,0.0,0.0,34.64,41.26,41.81,,,4.824404000000001
11.95,19.66,5.461,19.91,5.553,19.99,-0.667,0.0,0.0,34.91,41.54,41.82,,,4.643580500000004
12.0,19.59,5.442,20.08,5.553,19.99,-0.389,0.0,0.0,35.18,41.82,41.82,,,4.539964000000003
12.05,19.59,5.442,19.91,5.553,19.99,0.0,0.0,0.0,35.46,42.1,41.83,,,4.539964000000003
12.1,19.65,5.458,20.08,5.553,19.99,0.333,0.0,0.0,35.73,42.37,41.83,,,4.627196000000003
12.15,19.77,5.492,19.91,5.553,19.99,0.667,0.0,0.0,36.0,42.65,41.84,,,4.813414000000003
12.2,19.91,5.531,20.08,5.553,19.99,0.778,0.0,0.0,36.28,42.93,41.84,,,5.028440500000002
12.25,20.07,5.575,19.91,5.553,19.99,0.889,0.0,0.0,36.56,43.21,41.84,,,5.2728605000000055
12.3,20.23,5.619,20.08,5.553,19.99,0.889,0.0,0.0,36.84,43.48,41.84,,,5.519216500000002
12.35,20.36,5.656,19.91,5.553,19.99,0.722,0.0,0.0,37.12,43.76,41.83,,,5.727878000000002
12.4,20.42,5.672,20.08,5.553,19.99,0.333,0.0,0.0,37.4,44.04,41.83,,,5.818534000000001
12.45,20.44,5.678,19.91,5.553,19.99,0.111,0.0,0.0,37.69,44.32,41.82,,,5.852596
12.5,20.42,5.672,20.08,5.553,19.99,-0.111,0.0,0.0,37.97,44.6,41.81,,,5.818534000000001
12.55,20.37,5.658,19.91,5.553,19.99,-0.278,0.0,0.0,38.25,44.87,41.81,,,5.739196000000005
12.6,20.29,5.636,20.08,5.553,19.99,-0.444,0.0,0.0,38.53,45.15,41.8,,,5.614918000000003
12.65,20.21,5.614,19.91,5.553,19.99,-0.444,0.0,0.0,38.82,45.43,41.8,,,5.491124000000003
12.7,20.13,5.592,20.08,5.553,19.99,-0.444,0.0,0.0,39.1,45.71,41.8,,,5.367814000000001
12.75,20.06,5.572,19.91,5.553,19.99,-0.389,0.0,0.0,39.37,45.98,41.8,,,5.256134000000003
12.8,20.02,5.561,20.08,5.553,19.99,-0.222,0.0,0.0,39.65,46.26,41.8,,,5.194880500000004
12.85,19.98,5.55,19.91,5.553,19.99,-0.222,0.0,0.0,39.93,46.54,41.79,,,5.133748000000002
12.9,19.94,5.539,20.08,5.553,19.99,-0.222,0.0,0.0,40.21,46.82,41.8,,,5.072736500000001
12.95,19.89,5.525,19.91,5.553,19.99,-0.278,0.0,0.0,40.48,47.09,41.8,,,4.995260500000004
13.0,19.85,5.514,20.08,5.553,19.99,-0.222,0.0,0.0,40.76,47.37,41.8,,,4.934524000000005
13.05,19.84,5.511,19.91,5.553,19.99,-0.056,0.0,0.0,41.04,47.65,41.8,,,4.917980500000004
13.1,19.86,5.517,20.08,5.553,19.99,0.111,0.0,0.0,41.31,47.93,41.8,,,4.9510765000000045
