Time (s),Ego Speed (km/h),Lead Speed (km/h),Smoothed Lead Speed (km/h),Distance Between (m),Ego Distance Covered (m),Lead Vehicle Distance Covered (m),Ego X (m),Ego Y (m),Lead X (m),Lead Y (m)
0.0,0.0,7.06,7.06,16.01,0.0,0.0,107.0,133.0,123.0,133.43
0.05,0.0,8.82,7.94,16.01,0.0,0.11,107.0,133.0,123.0,133.43
0.1,0.0,10.58,8.82,16.01,0.0,0.25,107.0,133.0,123.0,133.43
0.15,0.0,10.75,9.3,16.01,0.0,0.41,107.0,133.0,123.0,133.43
0.2,0.0,7.77,9.0,16.01,0.0,0.53,107.0,133.0,123.0,133.43
0.25,0.0,4.89,8.31,16.01,0.0,0.61,107.0,133.0,123.0,133.43
0.3,0.0,0.29,7.17,16.01,0.0,0.64,107.0,133.0,123.0,133.43
0.35,0.05,1.26,6.43,16.01,0.0,0.65,107.0,133.0,123.0,133.43
0.4,0.07,0.96,5.82,16.01,0.0,0.66,107.0,133.0,123.0,133.43
0.45,0.05,0.91,5.33,16.01,0.0,0.67,107.0,133.0,123.0,133.43
0.5,0.07,0.85,4.71,16.01,0.0,0.68,107.0,133.0,123.0,133.43
0.55,0.04,0.8,3.91,16.0,0.0,0.69,107.0,133.0,123.0,133.43
0.6000000000000001,0.08,0.75,2.92,16.0,0.0,0.69,107.0,133.0,123.0,133.43
0.65,0.03,0.7,1.92,16.0,0.0,0.7,107.0,133.0,123.0,133.43
0.7000000000000001,0.09,0.66,1.21,16.0,0.0,0.7,107.0,133.0,123.0,133.43
0.75,0.01,0.62,0.78,16.0,0.0,0.71,107.0,133.0,123.0,133.43
0.8,0.11,0.58,0.81,16.0,0.0,0.71,107.0,133.0,123.0,133.43
0.8500000000000001,0.01,0.55,0.74,16.0,0.0,0.72,107.0,133.0,123.0,133.43
0.9,0.14,0.51,0.69,16.0,0.01,0.72,107.0,133.0,123.0,133.43
0.95,0.04,0.48,0.65,16.0,0.01,0.73,107.01,133.0,123.0,133.43
1.0,0.17,0.8,0.65,16.01,0.01,0.74,107.01,133.0,123.01,133.43
1.05,0.07,1.33,0.7,16.02,0.01,0.76,107.01,133.0,123.03,133.42
1.1,0.2,0.84,0.71,16.03,0.01,0.77,107.01,133.0,123.04,133.42
1.15,0.11,1.53,0.79,16.05,0.01,0.79,107.01,133.0,123.06,133.42
1.2000000000000002,0.24,1.05,0.83,16.06,0.02,0.81,107.02,133.0,123.07,133.42
1.25,0.15,1.76,0.94,16.08,0.02,0.83,107.02,133.0,123.1,133.42
1.3,0.36,1.29,1.01,16.1,0.02,0.85,107.02,133.0,123.12,133.42
1.35,0.52,2.01,1.16,16.12,0.03,0.88,107.03,133.0,123.14,133.42
1.4,0.73,1.54,1.26,16.13,0.04,0.9,107.04,133.0,123.17,133.42
1.4500000000000002,0.81,2.27,1.44,16.15,0.05,0.93,107.05,133.0,123.19,133.42
1.5,0.83,1.81,1.54,16.17,0.06,0.95,107.06,133.0,123.22,133.42
1.55,0.97,2.53,1.66,16.19,0.07,0.99,107.07,133.0,123.25,133.42
1.6,0.89,2.09,1.79,16.21,0.09,1.02,107.08,133.0,123.29,133.42
1.65,1.02,2.81,1.92,16.23,0.1,1.06,107.1,133.0,123.32,133.42
1.7000000000000002,1.12,2.37,2.05,16.25,0.11,1.09,107.11,133.01,123.36,133.42
1.75,1.24,3.09,2.18,16.27,0.13,1.13,107.13,133.01,123.4,133.42
1.8,1.42,2.66,2.32,16.29,0.15,1.17,107.15,133.01,123.44,133.42
1.85,1.47,3.38,2.45,16.32,0.17,1.22,107.17,133.01,123.48,133.42
1.9,1.65,2.95,2.6,16.34,0.19,1.26,107.19,133.01,123.52,133.42
1.95,1.81,3.66,2.73,16.36,0.22,1.31,107.22,133.01,123.57,133.42
2.0,1.77,3.23,2.88,16.38,0.24,1.35,107.24,133.01,123.62,133.42
2.0500000000000003,1.97,3.94,3.02,16.41,0.27,1.41,107.27,133.01,123.67,133.42
2.1,1.94,3.52,3.16,16.44,0.29,1.46,107.29,133.01,123.72,133.42
2.15,2.16,4.23,3.3,16.46,0.32,1.51,107.32,133.01,123.78,133.42
2.2,2.16,3.81,3.45,16.49,0.35,1.57,107.35,133.01,123.83,133.42
2.25,2.3,4.52,3.59,16.52,0.38,1.63,107.38,133.02,123.9,133.43
2.3000000000000003,2.41,4.11,3.74,16.54,0.42,1.69,107.42,133.02,123.96,133.43
2.35,2.58,4.82,3.88,16.57,0.45,1.75,107.45,133.02,124.02,133.43
2.4000000000000004,2.7,4.41,4.03,16.6,0.49,1.82,107.49,133.02,124.08,133.43
2.45,2.85,5.11,4.17,16.63,0.53,1.89,107.53,133.02,124.15,133.43
2.5,2.96,4.7,4.32,16.66,0.57,1.95,107.57,133.03,124.22,133.43
2.5500000000000003,3.1,5.41,4.46,16.69,0.61,2.03,107.61,133.03,124.29,133.43
2.6,3.19,5.01,4.61,16.72,0.65,2.1,107.65,133.03,124.36,133.43
2.6500000000000004,3.33,5.7,4.76,16.75,0.7,2.18,107.7,133.03,124.44,133.43
2.7,3.43,5.31,4.91,16.78,0.75,2.25,107.75,133.04,124.52,133.43
2.75,3.58,6.0,5.06,16.81,0.8,2.33,107.79,133.04,124.6,133.43
2.8000000000000003,3.69,5.6,5.21,16.84,0.85,2.41,107.84,133.04,124.68,133.43
2.85,3.84,6.29,5.35,16.87,0.9,2.5,107.9,133.04,124.76,133.43
2.9000000000000004,3.96,5.9,5.5,16.9,0.95,2.58,107.95,133.05,124.85,133.43
2.95,4.09,6.58,5.65,16.93,1.01,2.67,108.01,133.05,124.94,133.43
3.0,4.19,6.2,5.8,16.96,1.07,2.76,108.07,133.05,125.03,133.43
3.0500000000000003,4.33,6.87,5.95,17.0,1.13,2.85,108.12,133.05,125.12,133.43
3.1,4.44,6.49,6.09,17.03,1.19,2.94,108.18,133.06,125.21,133.43
3.1500000000000004,4.58,7.16,6.24,17.06,1.25,3.04,108.25,133.06,125.31,133.43
3.2,4.71,6.78,6.39,17.1,1.31,3.14,108.31,133.07,125.4,133.43
3.25,4.85,7.45,6.53,17.13,1.38,3.24,108.38,133.07,125.51,133.43
3.3000000000000003,4.98,7.07,6.68,17.16,1.45,3.34,108.45,133.07,125.61,133.43
3.35,5.11,7.74,6.83,17.2,1.52,3.45,108.52,133.08,125.71,133.43
3.4000000000000004,5.23,7.37,6.97,17.23,1.59,3.55,108.59,133.08,125.82,133.43
3.45,5.35,8.02,7.12,17.27,1.67,3.66,108.66,133.09,125.93,133.43
3.5,5.47,7.66,7.26,17.3,1.74,3.77,108.74,133.09,126.03,133.43
3.5500000000000003,5.59,8.31,7.41,17.34,1.82,3.88,108.81,133.1,126.15,133.43
3.6,5.71,7.95,7.55,17.37,1.9,3.99,108.89,133.1,126.26,133.43
3.65,5.83,8.6,7.7,17.41,1.98,4.11,108.97,133.1,126.38,133.43
3.7,5.96,8.25,7.84,17.44,2.06,4.23,109.06,133.11,126.49,133.43
3.75,6.09,8.89,7.99,17.48,2.14,4.35,109.14,133.12,126.62,133.43
3.8,6.23,8.54,8.13,17.51,2.23,4.47,109.22,133.12,126.74,133.43
3.85,6.36,9.18,8.28,17.55,2.32,4.6,109.31,133.13,126.86,133.43
3.9,6.49,8.84,8.43,17.59,2.41,4.72,109.4,133.13,126.99,133.43
3.95,6.63,9.47,8.57,17.63,2.5,4.85,109.49,133.14,127.12,133.43
4.0,6.76,9.13,8.72,17.66,2.59,4.98,109.58,133.14,127.25,133.43
4.05,6.89,9.76,8.86,17.7,2.68,5.11,109.68,133.15,127.38,133.43
4.1000000000000005,7.02,9.42,9.01,17.74,2.78,5.24,109.78,133.16,127.51,133.43
4.15,7.16,10.04,9.15,17.78,2.88,5.38,109.88,133.16,127.65,133.43
4.2,7.29,9.72,9.3,17.81,2.98,5.52,109.97,133.17,127.79,133.43
4.25,7.43,10.33,9.44,17.85,3.08,5.66,110.08,133.18,127.93,133.43
4.3,7.56,10.01,9.59,17.89,3.19,5.8,110.18,133.18,128.07,133.43
4.3500000000000005,7.7,10.62,9.73,17.93,3.29,5.95,110.29,133.19,128.21,133.43
4.4,7.84,10.3,9.88,17.97,3.4,6.09,110.39,133.2,128.36,133.43
4.45,7.98,10.91,10.02,18.01,3.51,6.24,110.5,133.2,128.51,133.43
4.5,8.12,10.59,10.17,18.04,3.62,6.39,110.62,133.21,128.66,133.43
4.55,8.26,11.19,10.31,18.08,3.74,6.54,110.73,133.22,128.81,133.43
4.6000000000000005,8.4,10.88,10.46,18.12,3.85,6.7,110.85,133.23,128.96,133.43
4.65,8.53,11.47,10.6,18.16,3.97,6.86,110.96,133.23,129.12,133.43
4.7,8.67,11.17,10.75,18.2,4.09,7.01,111.08,133.24,129.28,133.43
4.75,8.81,11.76,10.89,18.24,4.21,7.17,111.2,133.25,129.44,133.43
4.800000000000001,8.96,11.46,11.03,18.27,4.34,7.33,111.33,133.26,129.6,133.43
4.8500000000000005,9.1,12.05,11.18,18.31,4.46,7.5,111.45,133.26,129.77,133.43
4.9,9.22,11.76,11.32,18.35,4.59,7.66,111.58,133.27,129.93,133.43
4.95,9.34,12.34,11.47,18.39,4.72,7.84,111.71,133.28,130.1,133.43
5.0,9.48,12.05,11.61,18.43,4.85,8.0,111.84,133.29,130.27,133.43
5.050000000000001,9.63,12.63,11.76,18.47,4.98,8.18,111.97,133.3,130.44,133.43
5.1000000000000005,9.79,12.35,11.9,18.51,5.12,8.35,112.11,133.3,130.62,133.43
5.15,9.96,12.92,12.05,18.55,5.25,8.53,112.24,133.31,130.79,133.43
5.2,10.13,12.64,12.2,18.59,5.39,8.71,112.38,133.32,130.97,133.43
5.25,10.29,13.21,12.34,18.63,5.54,8.89,112.53,133.33,131.15,133.43
5.300000000000001,10.45,12.94,12.49,18.67,5.68,9.07,112.67,133.34,131.34,133.43
5.3500000000000005,10.58,13.5,12.63,18.71,5.83,9.26,112.82,133.34,131.52,133.43
5.4,10.7,13.24,12.78,18.74,5.97,9.44,112.96,133.35,131.71,133.43
5.45,10.84,13.79,12.93,18.78,6.12,9.63,113.11,133.36,131.9,133.43
5.5,11.03,13.54,13.08,18.82,6.28,9.82,113.26,133.37,132.09,133.43
5.550000000000001,11.24,14.09,13.22,18.86,6.43,10.01,113.42,133.38,132.28,133.43
5.6000000000000005,11.46,13.84,13.37,18.9,6.59,10.21,113.58,133.38,132.47,133.43
5.65,11.68,14.38,13.52,18.94,6.75,10.41,113.74,133.39,132.67,133.43
5.7,11.89,14.14,13.67,18.97,6.91,10.6,113.9,133.4,132.87,133.43
5.75,12.07,14.69,13.82,19.01,7.08,10.81,114.07,133.41,133.07,133.43
5.800000000000001,12.23,14.45,13.97,19.04,7.25,11.01,114.24,133.42,133.27,133.43
5.8500000000000005,12.37,14.99,14.12,19.08,7.42,11.22,114.41,133.43,133.48,133.43
5.9,12.49,14.76,14.27,19.11,7.59,11.42,114.58,133.43,133.69,133.43
5.95,12.6,15.29,14.42,19.14,7.77,11.63,114.75,133.44,133.9,133.43
6.0,12.75,15.07,14.57,19.18,7.94,11.84,114.93,133.45,134.11,133.43
6.050000000000001,12.92,15.58,14.72,19.22,8.12,12.06,115.11,133.46,134.33,133.43
6.1000000000000005,13.11,15.38,14.87,19.25,8.3,12.27,115.29,133.46,134.54,133.43
6.15,13.31,15.88,15.02,19.29,8.49,12.49,115.47,133.47,134.76,133.43
6.2,13.52,15.68,15.18,19.32,8.67,12.71,115.66,133.48,134.98,133.43
6.25,13.72,16.18,15.33,19.35,8.86,12.94,115.85,133.48,135.2,133.43
6.300000000000001,13.9,15.99,15.48,19.38,9.06,13.16,116.04,133.49,135.43,133.43
6.3500000000000005,14.06,16.47,15.63,19.42,9.25,13.39,116.24,133.5,135.65,133.43
6.4,14.24,16.3,15.78,19.45,9.45,13.61,116.43,133.5,135.88,133.43
6.45,14.43,16.77,15.93,19.48,9.65,13.85,116.63,133.51,136.11,133.43
6.5,14.62,16.61,16.08,19.51,9.85,14.08,116.83,133.51,136.34,133.43
6.550000000000001,14.82,17.07,16.23,19.54,10.05,14.31,117.04,133.52,136.58,133.43
6.6000000000000005,15.01,16.92,16.39,19.57,10.26,14.55,117.25,133.52,136.82,133.43
6.65,15.2,17.37,16.53,19.6,10.47,14.79,117.46,133.53,137.06,133.43
6.7,15.37,17.23,16.69,19.63,10.68,15.03,117.67,133.54,137.3,133.43
6.75,15.54,17.67,16.84,19.66,10.9,15.28,117.88,133.54,137.54,133.43
6.800000000000001,15.71,17.54,16.99,19.69,11.11,15.52,118.1,133.54,137.79,133.43
6.8500000000000005,15.87,17.97,17.14,19.72,11.33,15.77,118.32,133.55,138.04,133.43
6.9,16.03,17.84,17.3,19.74,11.56,16.02,118.54,133.55,138.28,133.43
6.95,16.19,18.13,17.43,19.77,11.78,16.27,118.76,133.56,138.53,133.43
7.0,16.36,18.82,17.65,19.8,12.01,16.52,118.99,133.56,138.79,133.43
7.050000000000001,16.53,17.96,17.74,19.82,12.24,16.77,119.22,133.57,139.04,133.43
7.1000000000000005,16.7,18.43,17.89,19.84,12.47,17.03,119.45,133.57,139.29,133.43
7.15,16.87,18.58,18.02,19.87,12.7,17.28,119.68,133.57,139.55,133.43
7.2,17.05,18.94,18.19,19.89,12.94,17.55,119.92,133.57,139.81,133.43
7.25,17.22,18.88,18.31,19.92,13.17,17.81,120.16,133.58,140.08,133.43
7.300000000000001,17.37,19.15,18.47,19.94,13.41,18.08,120.4,133.58,140.34,133.43
7.35,17.5,19.07,18.58,19.97,13.66,18.34,120.64,133.58,140.61,133.43
7.4,17.65,19.33,18.73,19.99,13.9,18.61,120.89,133.58,140.88,133.43
7.45,17.82,19.23,18.84,20.01,14.15,18.88,121.13,133.58,141.14,133.43
7.5,17.99,19.47,18.9,20.03,14.4,19.15,121.38,133.59,141.41,133.43
7.550000000000001,18.17,19.36,19.04,20.05,14.65,19.42,121.63,133.59,141.68,133.43
7.6,18.36,19.58,19.16,20.07,14.9,19.69,121.89,133.59,141.95,133.43
