Time (s),Ego Speed (km/h),Lead Speed (km/h),Smoothed Lead Speed (km/h),Distance Between (m),Ego Distance Covered (m),Lead Vehicle Distance Covered (m),Ego X (m),Ego Y (m),Lead X (m),Lead Y (m)
0.0,0.0,7.06,7.06,41.01,0.0,0.0,107.0,133.0,148.0,133.44
0.05,0.0,8.82,7.94,41.0,0.0,0.11,107.0,133.0,148.0,133.44
0.1,0.0,10.58,8.82,41.0,0.0,0.25,107.0,133.0,148.0,133.44
0.15,0.0,10.75,9.3,41.0,0.0,0.41,107.0,133.0,148.0,133.44
0.2,0.0,7.77,9.0,41.0,0.0,0.53,107.0,133.0,148.0,133.44
0.25,0.0,4.89,8.31,41.0,0.0,0.61,107.0,133.0,148.0,133.44
0.3,0.0,0.29,7.17,41.0,0.0,0.64,107.0,133.0,148.0,133.44
0.35,0.06,1.26,6.43,41.0,0.0,0.65,107.0,133.0,148.0,133.44
0.4,0.06,0.96,5.82,41.0,0.0,0.66,107.0,133.0,148.0,133.44
0.45,0.05,0.91,5.33,41.0,0.0,0.67,107.0,133.0,148.0,133.44
0.5,0.07,0.85,4.71,41.0,0.0,0.68,107.0,133.0,148.0,133.44
0.55,0.04,0.8,3.91,41.0,0.0,0.69,107.0,133.0,148.0,133.44
0.6000000000000001,0.08,0.75,2.92,41.0,0.0,0.69,107.0,133.0,148.0,133.44
0.65,0.03,0.7,1.92,41.0,0.0,0.7,107.0,133.0,148.0,133.44
0.7000000000000001,0.1,0.66,1.21,41.0,0.0,0.7,107.0,133.0,148.0,133.44
0.75,0.0,0.62,0.78,41.0,0.0,0.71,107.0,133.0,148.0,133.44
0.8,0.13,0.58,0.81,41.0,0.0,0.71,107.0,133.0,148.0,133.44
0.8500000000000001,0.03,0.55,0.74,41.0,0.0,0.72,107.0,133.0,148.0,133.44
0.9,0.16,0.51,0.69,40.99,0.01,0.72,107.01,133.0,148.0,133.44
0.95,0.07,0.8,0.68,41.0,0.01,0.74,107.01,133.0,148.01,133.44
1.0,0.2,1.34,0.73,41.02,0.01,0.75,107.01,133.0,148.02,133.44
1.05,0.11,0.86,0.74,41.03,0.01,0.77,107.01,133.0,148.04,133.44
1.1,0.26,1.56,0.82,41.05,0.01,0.79,107.01,133.0,148.06,133.44
1.15,0.18,1.08,0.86,41.06,0.02,0.8,107.02,133.0,148.07,133.44
1.2000000000000002,0.52,1.81,0.97,41.08,0.02,0.83,107.02,133.0,148.1,133.44
1.25,0.49,1.34,1.04,41.09,0.03,0.85,107.03,133.0,148.12,133.44
1.3,0.72,2.08,1.19,41.11,0.04,0.87,107.04,133.0,148.15,133.44
1.35,0.81,1.62,1.3,41.12,0.05,0.9,107.05,133.0,148.17,133.44
1.4,0.98,2.36,1.49,41.14,0.06,0.93,107.06,133.0,148.2,133.44
1.4500000000000002,1.18,1.91,1.6,41.15,0.08,0.96,107.08,133.0,148.23,133.44
1.5,1.26,2.65,1.73,41.17,0.1,0.99,107.1,133.0,148.26,133.44
1.55,1.37,2.22,1.86,41.18,0.11,1.02,107.11,133.01,148.29,133.44
1.6,1.38,2.96,2.0,41.2,0.13,1.06,107.13,133.01,148.33,133.44
1.65,1.59,2.53,2.15,41.22,0.15,1.1,107.15,133.01,148.37,133.44
1.7000000000000002,1.56,3.27,2.3,41.24,0.18,1.14,107.18,133.01,148.41,133.44
1.75,1.69,2.85,2.45,41.26,0.2,1.18,107.2,133.01,148.46,133.44
1.8,1.73,3.58,2.6,41.29,0.22,1.23,107.22,133.01,148.5,133.44
1.85,1.82,3.16,2.75,41.31,0.25,1.28,107.25,133.01,148.55,133.44
1.9,1.94,3.89,2.9,41.33,0.27,1.33,107.27,133.01,148.6,133.44
1.95,2.09,3.48,3.06,41.35,0.3,1.38,107.3,133.01,148.65,133.44
2.0,2.25,4.2,3.21,41.38,0.33,1.44,107.33,133.01,148.71,133.44
2.0500000000000003,2.42,3.79,3.37,41.4,0.36,1.49,107.36,133.02,148.76,133.44
2.1,2.56,4.52,3.53,41.43,0.4,1.55,107.4,133.02,148.82,133.44
2.15,2.66,4.11,3.68,41.45,0.43,1.61,107.43,133.02,148.88,133.44
2.2,2.75,4.83,3.84,41.48,0.47,1.68,107.47,133.02,148.95,133.44
2.25,2.83,4.43,4.0,41.5,0.51,1.74,107.51,133.02,149.01,133.44
2.3000000000000003,2.91,5.14,4.16,41.53,0.55,1.81,107.55,133.02,149.08,133.44
2.35,3.0,4.74,4.31,41.56,0.59,1.88,107.59,133.03,149.15,133.44
2.4000000000000004,3.11,5.45,4.47,41.59,0.64,1.95,107.63,133.03,149.22,133.44
2.45,3.24,5.05,4.63,41.62,0.68,2.02,107.68,133.03,149.29,133.44
2.5,3.39,5.76,4.78,41.65,0.73,2.1,107.72,133.03,149.37,133.44
2.5500000000000003,3.55,5.37,4.94,41.68,0.77,2.18,107.77,133.04,149.45,133.44
2.6,3.71,6.07,5.09,41.71,0.82,2.26,107.82,133.04,149.53,133.44
2.6500000000000004,3.86,5.68,5.25,41.74,0.88,2.34,107.88,133.04,149.61,133.44
2.7,3.98,6.38,5.41,41.77,0.93,2.43,107.93,133.04,149.7,133.44
2.75,4.12,6.0,5.56,41.8,0.99,2.51,107.99,133.05,149.78,133.44
2.8000000000000003,4.29,6.69,5.72,41.83,1.05,2.6,108.04,133.05,149.88,133.44
2.85,4.47,6.32,5.88,41.86,1.11,2.69,108.11,133.05,149.96,133.44
2.9000000000000004,4.63,7.01,6.03,41.89,1.17,2.79,108.17,133.06,150.06,133.44
2.95,4.83,6.63,6.19,41.92,1.24,2.88,108.24,133.06,150.15,133.44
3.0,5.06,7.32,6.35,41.95,1.31,2.98,108.3,133.07,150.25,133.44
3.0500000000000003,5.28,6.95,6.51,41.98,1.38,3.08,108.38,133.07,150.35,133.44
3.1,5.48,7.64,6.66,42.01,1.45,3.19,108.45,133.07,150.46,133.44
3.1500000000000004,5.63,7.27,6.82,42.03,1.53,3.29,108.53,133.08,150.56,133.44
3.2,5.75,7.95,6.98,42.06,1.61,3.4,108.61,133.08,150.67,133.44
3.25,5.87,7.59,7.14,42.09,1.69,3.5,108.69,133.09,150.77,133.44
3.3000000000000003,6.01,8.26,7.29,42.12,1.77,3.62,108.77,133.09,150.89,133.44
3.35,6.16,7.91,7.45,42.15,1.86,3.73,108.86,133.1,151.0,133.44
3.4000000000000004,6.3,8.58,7.61,42.18,1.95,3.85,108.94,133.1,151.12,133.44
3.45,6.45,8.24,7.77,42.2,2.03,3.96,109.03,133.11,151.23,133.44
3.5,6.6,8.88,7.93,42.24,2.12,4.08,109.12,133.12,151.35,133.44
3.5500000000000003,6.75,8.53,8.08,42.26,2.22,4.2,109.21,133.12,151.48,133.44
3.6,6.9,9.14,8.23,42.29,2.31,4.33,109.31,133.13,151.6,133.44
3.65,7.04,8.76,8.38,42.32,2.41,4.45,109.4,133.13,151.72,133.44
3.7,7.19,9.35,8.52,42.35,2.51,4.58,109.5,133.14,151.85,133.44
3.75,7.37,8.95,8.66,42.37,2.61,4.71,109.61,133.15,151.98,133.44
3.8,7.55,9.52,8.78,42.4,2.71,4.84,109.71,133.15,152.11,133.44
3.85,7.74,9.11,8.9,42.42,2.82,4.97,109.82,133.16,152.24,133.44
3.9,7.91,9.65,9.01,42.45,2.93,5.1,109.92,133.17,152.37,133.44
3.95,8.08,9.23,9.11,42.46,3.04,5.23,110.04,133.17,152.5,133.44
4.0,8.23,9.76,9.2,42.49,3.15,5.36,110.15,133.18,152.63,133.44
4.05,8.35,9.33,9.28,42.5,3.27,5.49,110.26,133.19,152.76,133.44
4.1000000000000005,8.46,9.85,9.35,42.52,3.39,5.63,110.38,133.2,152.9,133.44
4.15,8.6,9.41,9.42,42.53,3.5,5.76,110.5,133.2,153.03,133.44
4.2,8.78,10.23,9.5,42.55,3.63,5.9,110.62,133.21,153.17,133.44
4.25,8.99,9.76,9.59,42.57,3.75,6.04,110.74,133.22,153.31,133.44
4.3,9.23,10.23,9.66,42.58,3.88,6.18,110.87,133.23,153.45,133.44
4.3500000000000005,9.48,9.76,9.72,42.59,4.01,6.32,111.0,133.24,153.59,133.44
4.4,9.71,10.23,9.78,42.6,4.14,6.46,111.13,133.24,153.73,133.44
4.45,9.9,9.76,9.83,42.6,4.28,6.59,111.27,133.25,153.87,133.44
4.5,10.03,10.23,9.88,42.6,4.42,6.73,111.41,133.26,154.01,133.44
