Time (s),Ego Speed (km/h),Lead Speed (km/h),Smoothed Lead Speed (km/h),Distance Between (m),Ego Distance Covered (m),Lead Vehicle Distance Covered (m),Ego X (m),Ego Y (m),Lead X (m),Lead Y (m)
0.0,0.07,7.06,7.06,21.01,0.0,0.0,107.0,133.0,128.0,133.43
0.05,0.02,1.76,4.41,21.01,0.0,0.01,107.0,133.0,128.0,133.43
0.1,0.05,1.76,3.53,21.01,0.0,0.03,107.0,133.0,128.0,133.43
0.15,0.05,1.76,3.09,21.01,0.0,0.04,107.0,133.0,128.0,133.43
0.2,0.05,1.77,2.82,21.01,0.0,0.06,107.0,133.0,128.0,133.43
0.25,0.06,1.77,2.65,21.01,0.0,0.07,107.0,133.0,128.0,133.43
0.3,0.06,1.78,2.52,21.01,0.0,0.09,107.0,133.0,128.01,133.43
0.35,0.05,1.78,2.43,21.01,0.01,0.1,107.01,133.0,128.01,133.43
0.4,0.05,1.8,2.36,21.02,0.01,0.12,107.01,133.0,128.01,133.43
0.45,0.02,1.82,2.31,21.02,0.01,0.14,107.01,133.0,128.02,133.43
0.5,0.02,1.84,1.78,21.03,0.01,0.15,107.01,133.0,128.03,133.43
0.55,0.01,1.87,1.8,21.04,0.01,0.17,107.01,133.0,128.04,133.43
0.6000000000000001,0.03,1.91,1.81,21.05,0.01,0.19,107.01,133.0,128.05,133.43
0.65,0.01,1.95,1.83,21.06,0.01,0.21,107.01,133.0,128.06,133.43
0.7000000000000001,0.05,2.0,1.85,21.07,0.01,0.23,107.01,133.0,128.07,133.43
0.75,0.02,2.05,1.88,21.09,0.01,0.25,107.01,133.0,128.09,133.43
0.8,0.07,2.11,1.91,21.1,0.01,0.27,107.01,133.0,128.1,133.43
0.8500000000000001,0.05,2.18,1.95,21.12,0.01,0.29,107.01,133.0,128.12,133.43
0.9,0.09,2.26,2.0,21.14,0.01,0.32,107.01,133.0,128.14,133.43
0.95,0.08,2.34,2.05,21.16,0.01,0.34,107.01,133.0,128.16,133.43
1.0,0.12,2.42,2.11,21.18,0.01,0.37,107.01,133.0,128.18,133.43
1.05,0.11,2.51,2.17,21.2,0.01,0.4,107.01,133.0,128.21,133.43
1.1,0.16,2.6,2.24,21.22,0.02,0.43,107.02,133.0,128.24,133.43
1.15,0.14,2.7,2.32,21.25,0.02,0.46,107.02,133.0,128.26,133.43
1.2000000000000002,0.19,2.64,2.38,21.28,0.02,0.49,107.02,133.0,128.29,133.43
1.25,0.18,2.36,2.41,21.31,0.02,0.52,107.02,133.0,128.32,133.43
1.3,0.23,2.77,2.48,21.34,0.03,0.56,107.03,133.0,128.36,133.43
1.35,0.22,2.56,2.52,21.37,0.03,0.6,107.03,133.0,128.39,133.43
1.4,0.34,3.0,2.59,21.4,0.03,0.63,107.03,133.0,128.43,133.43
1.4500000000000002,0.84,2.77,2.63,21.43,0.04,0.67,107.04,133.0,128.47,133.43
1.5,0.95,3.25,2.72,21.46,0.05,0.72,107.06,133.0,128.51,133.43
1.55,1.08,3.0,2.77,21.49,0.07,0.76,107.07,133.0,128.56,133.43
1.6,1.16,3.51,2.86,21.52,0.08,0.81,107.08,133.0,128.6,133.43
1.65,1.29,3.24,2.91,21.55,0.1,0.85,107.1,133.0,128.65,133.43
1.7000000000000002,1.27,3.78,3.03,21.58,0.12,0.9,107.12,133.01,128.7,133.43
1.75,1.3,3.5,3.14,21.62,0.14,0.95,107.14,133.01,128.75,133.43
1.8,1.31,4.05,3.27,21.65,0.15,1.01,107.15,133.01,128.8,133.43
1.85,1.52,3.76,3.39,21.69,0.17,1.06,107.18,133.01,128.86,133.43
1.9,1.68,4.33,3.52,21.72,0.2,1.12,107.2,133.01,128.91,133.43
1.95,1.81,4.03,3.65,21.76,0.22,1.18,107.22,133.01,128.97,133.43
2.0,1.91,4.62,3.78,21.79,0.25,1.24,107.25,133.01,129.03,133.43
2.0500000000000003,2.0,4.3,3.91,21.83,0.27,1.3,107.27,133.01,129.1,133.43
2.1,2.09,4.9,4.05,21.86,0.3,1.37,107.3,133.01,129.16,133.43
2.15,2.21,4.58,4.18,21.9,0.33,1.43,107.33,133.01,129.23,133.43
2.2,2.35,5.19,4.33,21.94,0.36,1.5,107.36,133.02,129.3,133.43
2.25,2.48,4.86,4.46,21.97,0.4,1.57,107.4,133.02,129.37,133.43
2.3000000000000003,2.6,5.49,4.61,22.01,0.43,1.65,107.43,133.02,129.44,133.43
2.35,2.73,5.15,4.75,22.05,0.47,1.72,107.47,133.02,129.51,133.43
2.4000000000000004,2.86,5.78,4.89,22.09,0.51,1.8,107.51,133.02,129.59,133.43
2.45,3.0,5.43,5.03,22.12,0.55,1.87,107.55,133.02,129.67,133.43
2.5,3.15,6.07,5.18,22.16,0.59,1.96,107.59,133.03,129.75,133.43
2.5500000000000003,3.3,5.72,5.32,22.2,0.64,2.04,107.64,133.03,129.83,133.43
2.6,3.44,6.36,5.46,22.24,0.69,2.12,107.68,133.03,129.92,133.43
2.6500000000000004,3.58,6.0,5.61,22.27,0.73,2.21,107.73,133.03,130.0,133.43
2.7,3.71,6.64,5.75,22.31,0.78,2.3,107.78,133.04,130.1,133.43
2.75,3.84,6.28,5.89,22.35,0.84,2.39,107.84,133.04,130.18,133.43
2.8000000000000003,3.97,6.92,6.04,22.39,0.89,2.48,107.89,133.04,130.28,133.43
2.85,4.1,6.57,6.18,22.43,0.95,2.58,107.95,133.05,130.37,133.43
2.9000000000000004,4.22,7.2,6.32,22.47,1.01,2.68,108.0,133.05,130.47,133.43
2.95,4.35,6.84,6.46,22.51,1.06,2.77,108.06,133.05,130.57,133.43
3.0,4.49,7.48,6.6,22.55,1.13,2.87,108.13,133.05,130.67,133.43
3.0500000000000003,4.62,7.12,6.74,22.58,1.19,2.97,108.19,133.06,130.77,133.43
3.1,4.76,7.76,6.88,22.62,1.26,3.08,108.25,133.06,130.88,133.43
3.1500000000000004,4.9,7.4,7.02,22.66,1.32,3.19,108.32,133.07,130.98,133.43
3.2,5.02,8.04,7.16,22.7,1.39,3.3,108.39,133.07,131.09,133.43
3.25,5.13,7.68,7.3,22.74,1.46,3.4,108.46,133.07,131.2,133.43
3.3000000000000003,5.25,8.31,7.44,22.78,1.53,3.52,108.53,133.08,131.31,133.43
3.35,5.38,7.96,7.58,22.82,1.61,3.63,108.61,133.08,131.42,133.43
3.4000000000000004,5.53,8.59,7.72,22.86,1.68,3.75,108.68,133.09,131.54,133.43
3.45,5.67,8.25,7.86,22.9,1.76,3.86,108.76,133.09,131.66,133.43
