Time (s),Ego Speed (km/h),Lead Speed (km/h),Smoothed Lead Speed (km/h),Distance Between (m),Ego Distance Covered (m),Lead Vehicle Distance Covered (m),Ego X (m),Ego Y (m),Lead X (m),Lead Y (m),Ego Speed (m/s),Smoothed Lead Speed (m/s),Ego Acceleration (m/s²),Lead Acceleration (m/s²),Ego Pos Vel X (m/s),Ego Pos Vel Y (m/s),Ego Accel X (m/s²),Ego Accel Y (m/s²),Ego Accel Magnitude (m/s²),Ego Jerk (m/s³),RSS Safety Distance (m)
0.0,0.03,8.82,8.82,26.01,0.0,0.0,107.0,133.0,133.0,133.43,0.01,2.45,,,,,,,,,0.0
0.05,0.01,1.76,5.29,26.01,0.0,0.01,107.0,133.0,133.0,133.43,0.0,1.47,-0.139,-19.6,0.0,0.0,,,,,0.0
0.1,0.03,1.76,4.12,26.01,0.0,0.03,107.0,133.0,133.0,133.43,0.01,1.14,0.113,-6.533,0.0,0.0,0.0,0.0,0.0,,0.0
0.15000000000000002,0.03,1.76,3.53,26.01,0.0,0.04,107.0,133.0,133.0,133.43,0.01,0.98,-0.01,-3.266,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.02,1.77,3.18,26.01,0.0,0.06,107.0,133.0,133.0,133.43,0.01,0.88,-0.033,-1.958,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.01,1.77,2.94,26.01,0.0,0.07,107.0,133.0,133.0,133.43,0.0,0.82,-0.074,-1.302,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.30000000000000004,0.04,1.78,2.78,26.01,0.0,0.09,107.0,133.0,133.01,133.43,0.01,0.77,0.187,-0.924,0.02,0.0,0.4,0.0,0.4,7.996,0.0
0.35000000000000003,0.02,1.79,2.65,26.02,0.0,0.1,107.0,133.0,133.01,133.43,0.01,0.74,-0.117,-0.686,0.0,0.0,-0.4,0.0,0.4,0.0,0.0
0.4,0.06,1.8,2.56,26.02,0.0,0.12,107.0,133.0,133.02,133.43,0.02,0.71,0.249,-0.524,0.02,0.0,0.4,0.0,0.4,0.0,0.0
0.45,0.04,1.82,2.48,26.02,0.0,0.14,107.0,133.0,133.02,133.43,0.01,0.69,-0.108,-0.408,0.0,0.0,-0.4,0.0,0.4,0.0,0.0
0.5,0.09,1.85,1.79,26.03,0.0,0.15,107.0,133.0,133.03,133.43,0.03,0.5,0.262,-3.873,0.04,0.0,0.8,0.0,0.8,7.996,0.0
0.55,0.07,1.88,1.8,26.04,0.01,0.17,107.0,133.0,133.04,133.43,0.02,0.5,-0.097,0.066,0.02,0.0,-0.4,0.0,0.4,-7.996,0.0
0.6000000000000001,0.12,1.92,1.81,26.05,0.01,0.19,107.01,133.0,133.05,133.43,0.03,0.5,0.28,0.089,0.02,0.0,0.0,0.0,0.0,-7.996,0.0
0.65,0.11,1.97,1.84,26.06,0.01,0.21,107.01,133.0,133.06,133.43,0.03,0.51,-0.075,0.115,0.04,0.0,0.403,0.0,0.403,8.057,0.0
0.7000000000000001,0.17,2.03,1.86,26.07,0.01,0.23,107.01,133.0,133.08,133.43,0.05,0.52,0.301,0.145,0.04,0.0,-0.003,0.0,0.003,-7.996,0.0
0.75,0.15,2.09,1.89,26.08,0.01,0.25,107.01,133.0,133.09,133.43,0.04,0.53,-0.064,0.178,0.04,0.0,0.0,0.0,0.0,-0.061,0.0
