Time (s),Ego Speed (km/h),Lead Speed (km/h),Smoothed Lead Speed (km/h),Distance Between (m),Ego Distance Covered (m),Lead Vehicle Distance Covered (m),Ego X (m),Ego Y (m),Lead X (m),Lead Y (m)
0.0,3.02,1.76,1.76,40.79,0.0,0.0,107.22,133.0,148.0,133.44
0.05,3.15,1.76,1.76,40.75,0.04,0.01,107.26,133.0,148.0,133.44
0.1,3.17,1.76,1.76,40.7,0.09,0.03,107.31,133.0,148.0,133.44
0.15,3.13,1.77,1.76,40.66,0.13,0.04,107.35,133.0,148.0,133.44
0.2,3.05,1.77,1.77,40.62,0.17,0.06,107.39,133.01,148.0,133.44
0.25,3.0,1.77,1.77,40.58,0.22,0.07,107.43,133.01,148.01,133.44
0.3,2.97,1.78,1.77,40.54,0.26,0.09,107.47,133.01,148.01,133.44
0.35,3.02,1.8,1.77,40.5,0.3,0.1,107.51,133.01,148.01,133.44
0.4,3.13,1.82,1.78,40.47,0.34,0.12,107.56,133.01,148.02,133.44
0.45,3.31,1.84,1.78,40.43,0.39,0.14,107.6,133.01,148.03,133.44
0.5,3.53,1.87,1.79,40.39,0.43,0.15,107.65,133.02,148.04,133.44
0.55,3.77,1.91,1.81,40.35,0.48,0.17,107.7,133.02,148.05,133.44
0.6000000000000001,3.97,1.96,1.83,40.31,0.54,0.19,107.75,133.02,148.06,133.44
0.65,4.14,2.01,1.85,40.26,0.6,0.21,107.81,133.02,148.07,133.44
0.7000000000000001,4.26,2.06,1.88,40.22,0.65,0.23,107.87,133.03,148.09,133.44
0.75,4.35,2.13,1.92,40.18,0.71,0.25,107.93,133.03,148.1,133.44
0.8,4.4,2.2,1.96,40.13,0.77,0.28,107.99,133.03,148.12,133.44
0.8500000000000001,4.46,2.27,2.01,40.09,0.84,0.3,108.05,133.04,148.14,133.44
0.9,4.52,2.35,2.06,40.05,0.9,0.33,108.11,133.04,148.16,133.44
0.95,4.61,2.44,2.12,40.01,0.96,0.36,108.18,133.04,148.19,133.44
1.0,4.72,2.53,2.19,39.97,1.03,0.38,108.24,133.05,148.21,133.44
1.05,4.86,2.63,2.26,39.93,1.09,0.42,108.31,133.05,148.24,133.44
1.1,4.99,2.73,2.33,39.89,1.16,0.45,108.38,133.05,148.27,133.44
1.15,5.16,2.83,2.42,39.85,1.23,0.48,108.45,133.06,148.3,133.44
1.2000000000000002,5.35,2.93,2.5,39.81,1.31,0.52,108.52,133.06,148.33,133.44
1.25,5.53,3.04,2.59,39.77,1.38,0.56,108.6,133.07,148.37,133.44
1.3,5.7,3.16,2.69,39.73,1.46,0.59,108.68,133.07,148.4,133.44
1.35,5.85,3.27,2.79,39.68,1.54,0.63,108.76,133.08,148.44,133.44
1.4,5.98,3.39,2.89,39.64,1.62,0.68,108.84,133.08,148.48,133.44
1.4500000000000002,6.09,3.37,2.99,39.6,1.71,0.72,108.92,133.09,148.52,133.44
1.5,6.18,3.16,3.05,39.56,1.79,0.77,109.01,133.09,148.56,133.44
1.55,6.25,3.6,3.15,39.52,1.88,0.81,109.09,133.1,148.61,133.44
1.6,6.3,3.39,3.21,39.48,1.97,0.86,109.18,133.1,148.66,133.44
1.65,6.37,3.85,3.32,39.44,2.05,0.91,109.27,133.11,148.71,133.44
1.7000000000000002,6.46,3.62,3.38,39.4,2.14,0.96,109.36,133.11,148.76,133.44
1.75,6.57,4.11,3.49,39.37,2.23,1.02,109.45,133.12,148.81,133.44
1.8,6.7,3.87,3.56,39.33,2.33,1.07,109.54,133.12,148.87,133.44
