Time (s),Ego Speed (km/h),Lead Speed (km/h),Smoothed Lead Speed (km/h),Distance Between (m),Ego Distance Covered (m),Lead Vehicle Distance Covered (m),Ego X (m),Ego Y (m),Lead X (m),Lead Y (m)
0.0,0.0,7.06,7.06,21.01,0.0,0.0,107.0,133.0,128.0,133.43
0.05,0.0,8.82,7.94,21.01,0.0,0.11,107.0,133.0,128.0,133.43
0.1,0.0,10.58,8.82,21.01,0.0,0.25,107.0,133.0,128.0,133.43
0.15,0.02,10.75,9.3,21.0,0.0,0.41,107.0,133.0,128.0,133.43
0.2,0.02,0.47,7.54,21.0,0.0,0.41,107.0,133.0,128.0,133.43
0.25,0.01,0.6,6.38,21.0,0.0,0.41,107.0,133.0,128.0,133.43
0.3,0.02,0.56,5.55,21.0,0.0,0.42,107.0,133.0,128.0,133.43
0.35,0.01,0.53,4.92,21.0,0.0,0.42,107.0,133.0,128.0,133.43
0.4,0.03,0.5,4.43,21.0,0.0,0.43,107.0,133.0,128.0,133.43
0.45,0.01,0.47,4.03,21.0,0.0,0.43,107.0,133.0,128.0,133.43
0.5,0.05,0.44,3.37,21.0,0.0,0.43,107.0,133.0,128.0,133.43
0.55,0.03,0.41,2.53,21.0,0.0,0.44,107.0,133.0,128.0,133.43
0.6000000000000001,0.07,0.39,1.51,21.0,0.0,0.44,107.0,133.0,128.0,133.43
0.65,0.05,0.36,0.47,21.0,0.0,0.44,107.0,133.0,128.0,133.43
0.7000000000000001,0.1,0.34,0.46,21.0,0.0,0.45,107.0,133.0,128.0,133.43
0.75,0.08,0.72,0.47,21.01,0.01,0.46,107.0,133.0,128.01,133.43
0.8,0.13,1.17,0.53,21.02,0.01,0.47,107.01,133.0,128.02,133.43
0.8500000000000001,0.11,0.83,0.56,21.03,0.01,0.49,107.01,133.0,128.04,133.43
0.9,0.16,1.41,0.65,21.05,0.01,0.5,107.01,133.0,128.05,133.43
0.95,0.15,1.05,0.71,21.06,0.01,0.52,107.01,133.0,128.07,133.43
1.0,0.2,1.65,0.83,21.08,0.02,0.54,107.01,133.0,128.09,133.43
1.05,0.19,1.29,0.92,21.1,0.02,0.56,107.02,133.0,128.11,133.43
1.1,0.25,1.91,1.07,21.12,0.02,0.59,107.02,133.0,128.14,133.43
1.15,0.24,1.55,1.19,21.14,0.02,0.61,107.02,133.0,128.16,133.43
