Time (s),Ego Speed (km/h),Lead Speed (km/h),Smoothed Lead Speed (km/h),Distance Between (m),Ego Distance Covered (m),Lead Vehicle Distance Covered (m),Ego X (m),Ego Y (m),Lead X (m),Lead Y (m),Ego Speed (m/s),Smoothed Lead Speed (m/s),Ego Acceleration (m/s²),Lead Acceleration (m/s²),Ego Pos Vel X (m/s),Ego Pos Vel Y (m/s),Ego Accel X (m/s²),Ego Accel Y (m/s²),Ego Accel Magnitude (m/s²),Ego Jerk (m/s³),RSS Safety Distance (m)
0.0,0.0,7.06,7.06,31.01,0.0,0.0,107.0,133.0,138.0,133.43,0.0,1.96,,,,,,,,,0.0
0.05,0.0,8.82,7.94,31.01,0.0,0.11,107.0,133.0,138.0,133.43,0.0,2.21,0.005,4.9,0.0,0.0,,,,,0.0
0.1,0.0,10.58,8.82,31.0,0.0,0.25,107.0,133.0,138.0,133.43,0.0,2.45,0.002,4.9,0.0,0.0,0.0,0.0,0.0,,0.0
0.15000000000000002,0.02,10.75,9.3,31.0,0.0,0.41,107.0,133.0,138.0,133.43,0.01,2.58,0.117,2.677,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.02,0.47,7.54,31.0,0.0,0.41,107.0,133.0,138.0,133.43,0.0,2.09,-0.029,-9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.01,0.6,6.38,31.0,0.0,0.41,107.0,133.0,138.0,133.43,0.0,1.77,-0.019,-6.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.30000000000000004,0.02,0.56,5.55,31.0,0.0,0.42,107.0,133.0,138.0,133.43,0.01,1.54,0.056,-4.617,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.35000000000000003,0.01,0.53,4.92,31.0,0.0,0.42,107.0,133.0,138.0,133.43,0.0,1.37,-0.094,-3.487,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.03,0.5,4.43,31.0,0.0,0.43,107.0,133.0,138.0,133.43,0.01,1.23,0.15,-2.732,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.45,0.01,0.47,4.03,31.0,0.0,0.43,107.0,133.0,138.0,133.43,0.0,1.12,-0.137,-2.202,0.02,0.0,0.4,0.0,0.4,7.996,0.0
0.5,0.05,0.44,3.37,31.0,0.0,0.43,107.0,133.0,138.0,133.43,0.01,0.94,0.223,-3.677,0.0,0.0,-0.4,0.0,0.4,0.0,0.0
0.55,0.03,0.41,2.53,31.0,0.0,0.44,107.0,133.0,138.0,133.43,0.01,0.7,-0.128,-4.672,0.02,0.0,0.4,0.0,0.4,-0.0,0.0
0.6000000000000001,0.07,0.39,1.51,31.0,0.0,0.44,107.0,133.0,138.0,133.43,0.02,0.42,0.24,-5.666,0.0,0.0,-0.4,0.0,0.4,0.0,0.0
0.65,0.05,0.36,0.47,31.0,0.0,0.44,107.0,133.0,138.0,133.43,0.01,0.13,-0.114,-5.769,0.02,0.0,0.4,0.0,0.4,0.0,0.0
0.7000000000000001,0.1,0.34,0.46,31.0,0.0,0.45,107.0,133.0,138.0,133.43,0.03,0.13,0.259,-0.073,0.02,0.0,-0.0,0.0,0.0,-7.996,0.0
0.75,0.08,0.7,0.47,31.01,0.01,0.46,107.0,133.0,138.01,133.43,0.02,0.13,-0.099,0.053,0.02,0.0,0.0,0.0,0.0,0.0,0.0
0.8,0.13,1.14,0.53,31.02,0.01,0.47,107.01,133.0,138.02,133.43,0.04,0.15,0.275,0.322,0.04,0.0,0.403,0.0,0.403,8.057,0.0
0.8500000000000001,0.11,0.79,0.55,31.03,0.01,0.49,107.01,133.0,138.04,133.43,0.03,0.15,-0.084,0.145,0.02,0.0,-0.403,0.0,0.403,0.0,0.0
0.9,0.16,1.36,0.64,31.05,0.01,0.5,107.01,133.0,138.05,133.43,0.05,0.18,0.289,0.481,0.04,0.0,0.4,0.0,0.4,-0.061,0.0
0.9500000000000001,0.15,1.0,0.69,31.06,0.01,0.52,107.01,133.0,138.07,133.43,0.04,0.19,-0.072,0.298,0.06,0.02,0.4,0.403,0.568,3.355,0.0
1.0,0.21,1.6,0.81,31.08,0.02,0.54,107.01,133.0,138.09,133.43,0.06,0.22,0.304,0.646,0.04,0.0,-0.4,-0.403,0.568,0.0,0.0
1.05,0.2,1.24,0.89,31.09,0.02,0.56,107.02,133.0,138.11,133.43,0.05,0.25,-0.055,0.459,0.06,0.0,0.4,0.0,0.4,-3.355,0.0
1.1,0.25,1.85,1.04,31.11,0.02,0.58,107.02,133.0,138.13,133.43,0.07,0.29,0.325,0.814,0.06,0.0,0.003,0.0,0.003,-7.935,0.0
1.1500000000000001,0.29,1.49,1.15,31.13,0.03,0.6,107.03,133.0,138.15,133.43,0.08,0.32,0.17,0.625,0.08,0.0,0.397,0.0,0.397,7.874,0.0
