Time (s),Ego Speed (km/h),Lead Speed (km/h),Smoothed Lead Speed (km/h),Distance Between (m),Ego Distance Covered (m),Lead Vehicle Distance Covered (m),Ego X (m),Ego Y (m),Lead X (m),Lead Y (m)
0.0,0.09,1.76,1.76,36.0,0.0,0.0,107.0,133.0,143.0,133.43
0.05,0.14,1.76,1.76,36.0,0.0,0.01,107.01,133.0,143.0,133.43
0.1,0.12,1.76,1.76,36.0,0.0,0.03,107.01,133.0,143.0,133.43
0.15,0.0,1.77,1.76,36.0,0.0,0.04,107.01,133.0,143.0,133.43
0.2,0.2,1.77,1.77,36.0,0.01,0.06,107.01,133.0,143.0,133.43
0.25,0.36,1.78,1.77,36.0,0.01,0.07,107.01,133.0,143.01,133.43
0.3,0.45,1.78,1.77,35.99,0.02,0.09,107.02,133.0,143.01,133.43
0.35,0.0,1.8,1.77,36.0,0.02,0.1,107.02,133.0,143.01,133.43
0.4,0.0,1.82,1.78,36.0,0.02,0.12,107.02,133.0,143.02,133.43
0.45,0.02,1.84,1.78,36.01,0.02,0.14,107.02,133.0,143.03,133.43
0.5,0.06,1.87,1.8,36.02,0.02,0.15,107.02,133.0,143.04,133.43
0.55,0.03,1.91,1.81,36.03,0.02,0.17,107.02,133.0,143.05,133.43
0.6000000000000001,0.07,1.96,1.83,36.04,0.02,0.19,107.02,133.0,143.06,133.43
0.65,0.04,2.01,1.85,36.05,0.02,0.21,107.03,133.0,143.07,133.43
0.7000000000000001,0.08,2.07,1.88,36.07,0.02,0.23,107.03,133.0,143.09,133.43
0.75,0.05,2.13,1.92,36.08,0.02,0.25,107.03,133.0,143.1,133.43
0.8,0.09,2.2,1.96,36.1,0.02,0.28,107.03,133.0,143.12,133.43
0.8500000000000001,0.07,2.28,2.01,36.12,0.02,0.3,107.03,133.0,143.14,133.43
0.9,0.11,2.37,2.06,36.14,0.03,0.33,107.03,133.0,143.16,133.43
0.95,0.09,2.46,2.13,36.16,0.03,0.36,107.03,133.0,143.19,133.43
1.0,0.14,2.55,2.19,36.18,0.03,0.39,107.03,133.0,143.21,133.43
1.05,0.12,2.65,2.27,36.21,0.03,0.42,107.04,133.0,143.24,133.43
1.1,0.17,2.75,2.35,36.24,0.03,0.45,107.04,133.0,143.27,133.43
1.15,0.16,2.86,2.43,36.27,0.03,0.48,107.04,133.0,143.3,133.43
1.2000000000000002,0.22,2.97,2.52,36.3,0.04,0.52,107.04,133.0,143.34,133.43
1.25,0.21,3.09,2.62,36.33,0.04,0.56,107.04,133.0,143.37,133.43
1.3,0.27,3.21,2.72,36.36,0.04,0.6,107.05,133.0,143.41,133.43
1.35,0.62,3.33,2.82,36.4,0.05,0.64,107.05,133.0,143.45,133.43
1.4,0.99,3.46,2.93,36.42,0.06,0.69,107.07,133.0,143.49,133.43
1.4500000000000002,1.22,3.46,3.03,36.45,0.08,0.73,107.08,133.0,143.53,133.43
1.5,1.35,3.26,3.1,36.48,0.1,0.78,107.1,133.0,143.58,133.43
1.55,1.4,3.71,3.21,36.51,0.11,0.82,107.12,133.01,143.62,133.43
1.6,1.56,3.51,3.29,36.53,0.14,0.87,107.14,133.01,143.67,133.43
1.65,1.67,3.99,3.4,36.57,0.16,0.93,107.16,133.01,143.73,133.43
1.7000000000000002,1.69,3.77,3.48,36.59,0.18,0.98,107.19,133.01,143.78,133.43
1.75,1.79,4.27,3.6,36.63,0.21,1.04,107.21,133.01,143.84,133.43
1.8,1.78,4.04,3.68,36.66,0.23,1.09,107.24,133.01,143.89,133.43
1.85,2.01,4.57,3.8,36.69,0.26,1.16,107.26,133.01,143.95,133.43
1.9,2.1,4.32,3.89,36.73,0.29,1.22,107.29,133.01,144.01,133.43
1.95,2.26,4.88,4.03,36.76,0.32,1.28,107.32,133.01,144.08,133.43
2.0,2.35,4.61,4.17,36.8,0.35,1.35,107.35,133.01,144.15,133.43
2.0500000000000003,2.54,5.18,4.31,36.83,0.38,1.42,107.39,133.02,144.21,133.43
2.1,2.62,4.9,4.45,36.87,0.42,1.49,107.42,133.02,144.29,133.43
2.15,2.78,5.5,4.6,36.9,0.46,1.56,107.46,133.02,144.36,133.43
2.2,2.92,5.21,4.75,36.94,0.5,1.64,107.5,133.02,144.43,133.43
2.25,3.09,5.81,4.9,36.97,0.54,1.72,107.54,133.02,144.51,133.43
2.3000000000000003,3.21,5.51,5.05,37.01,0.58,1.79,107.58,133.03,144.59,133.43
2.35,3.35,6.13,5.21,37.04,0.63,1.88,107.63,133.03,144.67,133.43
2.4000000000000004,3.46,5.82,5.35,37.08,0.67,1.96,107.68,133.03,144.76,133.43
2.45,3.6,6.44,5.51,37.12,0.72,2.05,107.73,133.03,144.84,133.43
2.5,3.72,6.12,5.66,37.15,0.77,2.13,107.78,133.04,144.93,133.43
2.5500000000000003,3.87,6.76,5.82,37.19,0.83,2.23,107.83,133.04,145.02,133.43
2.6,4.0,6.43,5.97,37.23,0.88,2.32,107.89,133.04,145.11,133.43
2.6500000000000004,4.17,7.07,6.13,37.27,0.94,2.41,107.94,133.04,145.21,133.43
2.7,4.32,6.74,6.28,37.31,1.0,2.51,108.0,133.05,145.3,133.43
2.75,4.48,7.38,6.44,37.34,1.06,2.61,108.06,133.05,145.41,133.43
2.8000000000000003,4.63,7.05,6.59,37.38,1.12,2.71,108.13,133.05,145.51,133.43
2.85,4.78,7.7,6.75,37.42,1.19,2.81,108.19,133.06,145.61,133.43
2.9000000000000004,4.9,7.37,6.91,37.46,1.26,2.92,108.26,133.06,145.71,133.43
2.95,5.03,8.01,7.06,37.5,1.33,3.03,108.33,133.07,145.82,133.43
3.0,5.15,7.68,7.22,37.54,1.4,3.14,108.4,133.07,145.93,133.43
3.0500000000000003,5.26,8.31,7.37,37.58,1.47,3.25,108.47,133.07,146.05,133.43
