Time (s),Ego Speed (km/h),Lead Speed (km/h),Smoothed Lead Speed (km/h),Distance Between (m),Ego Distance Covered (m),Lead Vehicle Distance Covered (m),Ego X (m),Ego Y (m),Lead X (m),Lead Y (m),Ego Speed (m/s),Smoothed Lead Speed (m/s),Ego Acceleration (m/s²),Lead Acceleration (m/s²),Ego Pos Vel X (m/s),Ego Pos Vel Y (m/s),Ego Accel X (m/s²),Ego Accel Y (m/s²),Ego Accel Magnitude (m/s²),Ego Jerk (m/s³),RSS Safety Distance (m)
0.0,0.0,7.06,7.06,36.01,0.0,0.0,107.0,133.0,143.0,133.43,0.0,1.96,,,,,,,,,0.0
0.05,0.0,8.82,7.94,36.0,0.0,0.11,107.0,133.0,143.0,133.43,0.0,2.21,0.005,4.9,0.0,0.0,,,,,0.0
0.1,0.0,10.58,8.82,36.0,0.0,0.25,107.0,133.0,143.0,133.43,0.0,2.45,0.002,4.9,0.0,0.0,0.0,0.0,0.0,,0.0
0.15000000000000002,0.0,10.75,9.3,36.0,0.0,0.41,107.0,133.0,143.0,133.43,0.0,2.58,-0.004,2.677,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.0,7.77,9.0,36.0,0.0,0.53,107.0,133.0,143.0,133.43,0.0,2.5,0.002,-1.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.0,4.89,8.31,36.0,0.0,0.61,107.0,133.0,143.0,133.43,0.0,2.31,0.001,-3.797,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.30000000000000004,0.0,0.29,7.17,36.0,0.0,0.64,107.0,133.0,143.0,133.43,0.0,1.99,-0.0,-6.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.35000000000000003,0.01,1.26,6.43,36.0,0.0,0.65,107.0,133.0,143.0,133.43,0.0,1.79,0.047,-4.101,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.03,0.96,5.82,36.0,0.0,0.66,107.0,133.0,143.0,133.43,0.01,1.62,0.087,-3.373,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.45,0.01,0.91,5.33,36.0,0.0,0.67,107.0,133.0,143.0,133.43,0.0,1.48,-0.086,-2.729,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.03,0.85,4.71,36.0,0.0,0.68,107.0,133.0,143.0,133.43,0.01,1.31,0.092,-3.447,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.55,0.03,0.8,3.91,36.0,0.0,0.69,107.0,133.0,143.0,133.43,0.01,1.09,0.022,-4.456,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6000000000000001,0.02,0.75,2.92,36.0,0.0,0.69,107.0,133.0,143.0,133.43,0.0,0.81,-0.068,-5.463,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.65,0.01,0.7,1.92,36.0,0.0,0.7,107.0,133.0,143.0,133.43,0.0,0.53,-0.064,-5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7000000000000001,0.04,0.66,1.21,36.0,0.0,0.7,107.0,133.0,143.0,133.43,0.01,0.34,0.193,-3.949,0.02,0.0,0.4,0.0,0.4,7.996,0.0
0.75,0.02,0.62,0.78,36.0,0.0,0.71,107.0,133.0,143.0,133.43,0.01,0.22,-0.112,-2.375,0.0,0.0,-0.4,0.0,0.4,0.0,0.0
0.8,0.07,0.58,0.81,36.0,0.0,0.71,107.0,133.0,143.0,133.43,0.02,0.23,0.253,0.164,0.02,0.0,0.4,0.0,0.4,-0.0,0.0
0.8500000000000001,0.05,0.55,0.74,36.0,0.0,0.72,107.0,133.0,143.0,133.43,0.01,0.21,-0.105,-0.397,0.02,0.0,0.0,0.0,0.0,-7.996,0.0
0.9,0.1,0.51,0.69,36.0,0.0,0.72,107.0,133.0,143.0,133.43,0.03,0.19,0.265,-0.251,0.02,0.0,0.0,0.0,0.0,0.0,0.0
0.9500000000000001,0.08,0.48,0.65,36.0,0.01,0.73,107.0,133.0,143.0,133.43,0.02,0.18,-0.1,-0.238,0.02,0.0,-0.0,0.0,0.0,-0.0,0.0
1.0,0.13,0.79,0.64,36.01,0.01,0.74,107.01,133.0,143.01,133.43,0.03,0.18,0.266,-0.032,0.02,0.0,0.0,0.0,0.0,0.0,0.0
1.05,0.11,1.33,0.7,36.02,0.01,0.76,107.01,133.0,143.02,133.43,0.03,0.19,-0.094,0.294,0.04,0.0,0.403,0.0,0.403,8.057,0.0
1.1,0.16,0.84,0.71,36.03,0.01,0.77,107.01,133.0,143.04,133.43,0.04,0.2,0.278,0.05,0.04,0.0,-0.003,0.0,0.003,-7.996,0.0
1.1500000000000001,0.14,1.53,0.79,36.05,0.01,0.79,107.01,133.0,143.06,133.43,0.04,0.22,-0.087,0.459,0.04,0.02,0.0,0.403,0.403,7.996,0.0
1.2000000000000002,0.19,1.05,0.83,36.06,0.01,0.81,107.01,133.0,143.07,133.43,0.05,0.23,0.28,0.214,0.04,0.0,0.0,-0.403,0.403,0.0,0.0
1.25,0.18,1.76,0.94,36.08,0.02,0.83,107.02,133.0,143.1,133.43,0.05,0.26,-0.083,0.632,0.06,0.0,0.4,0.0,0.4,-0.061,0.0
1.3,0.23,1.28,1.01,36.1,0.02,0.85,107.02,133.0,143.12,133.43,0.06,0.28,0.292,0.389,0.06,0.0,-0.0,0.0,0.0,-7.996,0.0
1.35,0.22,2.0,1.16,36.12,0.02,0.88,107.02,133.0,143.14,133.43,0.06,0.32,-0.058,0.809,0.06,0.0,0.003,0.0,0.003,0.061,0.0
1.4000000000000001,0.3,1.53,1.26,36.14,0.03,0.9,107.03,133.0,143.16,133.43,0.08,0.35,0.419,0.569,0.08,0.0,0.397,0.0,0.397,7.874,0.0
1.4500000000000002,0.61,2.26,1.44,36.16,0.03,0.93,107.03,133.0,143.19,133.43,0.17,0.4,1.745,0.988,0.14,0.0,1.199,0.0,1.199,16.052,0.0
1.5,1.02,1.8,1.54,36.18,0.05,0.95,107.04,133.0,143.22,133.43,0.28,0.43,2.27,0.56,0.22,0.02,1.602,0.397,1.651,9.024,0.0
1.55,1.09,2.53,1.66,36.2,0.06,0.99,107.06,133.0,143.25,133.43,0.3,0.46,0.383,0.665,0.3,0.0,1.599,-0.397,1.648,-0.059,0.0
1.6,1.27,2.08,1.78,36.21,0.08,1.02,107.08,133.0,143.28,133.43,0.35,0.49,0.998,0.688,0.34,0.02,0.803,0.403,0.898,-14.991,0.0
1.6500000000000001,1.49,2.8,1.91,36.23,0.1,1.05,107.1,133.0,143.32,133.43,0.41,0.53,1.248,0.706,0.4,0.02,1.196,-0.006,1.196,5.965,0.0
1.7000000000000002,1.54,2.36,2.04,36.24,0.12,1.09,107.12,133.01,143.35,133.43,0.43,0.57,0.243,0.731,0.42,0.02,0.4,0.006,0.4,-15.93,0.0
1.75,1.71,3.09,2.17,36.26,0.14,1.13,107.14,133.01,143.4,133.43,0.48,0.6,0.984,0.738,0.46,0.02,0.803,-0.006,0.803,8.056,0.0
