Time (s),Ego Speed (km/h),Lead Speed (km/h),Smoothed Lead Speed (km/h),Distance Between (m),Ego Distance Covered (m),Lead Vehicle Distance Covered (m),Ego X (m),Ego Y (m),Lead X (m),Lead Y (m)
0.0,0.0,7.06,7.06,36.01,0.0,0.0,107.0,133.0,143.0,133.43
0.05,0.0,8.82,7.94,36.0,0.0,0.11,107.0,133.0,143.0,133.43
0.1,0.0,10.58,8.82,36.0,0.0,0.25,107.0,133.0,143.0,133.43
0.15,0.0,10.75,9.3,36.0,0.0,0.41,107.0,133.0,143.0,133.43
0.2,0.0,7.77,9.0,36.0,0.0,0.53,107.0,133.0,143.0,133.43
0.25,0.0,4.89,8.31,36.0,0.0,0.61,107.0,133.0,143.0,133.43
0.3,0.0,0.29,7.17,36.0,0.0,0.64,107.0,133.0,143.0,133.43
0.35,0.0,1.26,6.43,36.0,0.0,0.65,107.0,133.0,143.0,133.43
0.4,0.01,1.82,5.92,36.0,0.0,0.68,107.0,133.0,143.0,133.43
0.45,0.03,0.79,5.4,36.0,0.0,0.68,107.0,133.0,143.0,133.43
0.5,0.01,0.76,4.77,36.0,0.0,0.69,107.0,133.0,143.0,133.43
0.55,0.03,0.71,3.96,36.0,0.0,0.7,107.0,133.0,143.0,133.43
0.6000000000000001,0.0,0.67,2.97,36.0,0.0,0.7,107.0,133.0,143.0,133.43
0.65,0.04,0.63,1.96,36.0,0.0,0.71,107.0,133.0,143.0,133.43
0.7000000000000001,0.02,0.59,1.24,36.0,0.0,0.71,107.0,133.0,143.0,133.43
0.75,0.06,0.55,0.81,36.0,0.0,0.72,107.0,133.0,143.0,133.43
0.8,0.04,0.52,0.83,36.0,0.0,0.72,107.0,133.0,143.0,133.43
0.8500000000000001,0.08,0.49,0.75,36.0,0.0,0.73,107.0,133.0,143.0,133.43
0.9,0.07,0.46,0.62,36.0,0.01,0.73,107.0,133.0,143.0,133.43
0.95,0.12,0.43,0.58,35.99,0.01,0.74,107.01,133.0,143.0,133.43
1.0,0.1,0.73,0.58,36.0,0.01,0.75,107.01,133.0,143.01,133.43
1.05,0.16,1.26,0.63,36.02,0.01,0.76,107.01,133.0,143.02,133.43
1.1,0.15,0.78,0.64,36.03,0.01,0.78,107.01,133.0,143.04,133.43
1.15,0.2,1.47,0.73,36.04,0.01,0.79,107.01,133.0,143.05,133.43
1.2000000000000002,0.2,1.0,0.77,36.06,0.02,0.81,107.02,133.0,143.07,133.43
1.25,0.26,1.71,0.89,36.08,0.02,0.83,107.02,133.0,143.09,133.43
1.3,0.6,1.25,0.96,36.09,0.03,0.85,107.03,133.0,143.11,133.43
1.35,0.94,1.97,1.11,36.1,0.04,0.88,107.04,133.0,143.14,133.43
1.4,1.24,1.52,1.21,36.11,0.05,0.9,107.05,133.0,143.16,133.43
1.4500000000000002,1.41,2.24,1.39,36.12,0.07,0.93,107.07,133.0,143.19,133.43
1.5,1.43,1.8,1.5,36.13,0.09,0.96,107.09,133.0,143.22,133.43
1.55,1.44,2.53,1.63,36.14,0.11,0.99,107.11,133.01,143.25,133.43
1.6,1.51,2.09,1.76,36.15,0.13,1.02,107.13,133.01,143.28,133.43
1.65,1.48,2.82,1.89,36.17,0.15,1.06,107.15,133.01,143.32,133.43
1.7000000000000002,1.48,2.39,2.03,36.18,0.17,1.09,107.17,133.01,143.35,133.43
1.75,1.49,3.11,2.17,36.2,0.19,1.13,107.19,133.01,143.39,133.43
1.8,1.71,2.69,2.32,36.22,0.22,1.17,107.22,133.01,143.43,133.43
1.85,1.84,3.41,2.46,36.24,0.24,1.22,107.24,133.01,143.48,133.43
1.9,2.0,2.99,2.61,36.26,0.27,1.26,107.27,133.01,143.52,133.43
1.95,2.12,3.71,2.75,36.28,0.3,1.31,107.3,133.01,143.57,133.43
2.0,2.26,3.29,2.9,36.29,0.33,1.36,107.33,133.01,143.62,133.43
2.0500000000000003,2.39,4.0,3.05,36.31,0.36,1.41,107.36,133.02,143.67,133.43
2.1,2.49,3.59,3.2,36.33,0.39,1.46,107.39,133.02,143.72,133.43
2.15,2.58,4.3,3.35,36.36,0.43,1.52,107.43,133.02,143.78,133.43
2.2,2.68,3.89,3.5,36.37,0.47,1.58,107.46,133.02,143.84,133.43
2.25,2.79,4.6,3.65,36.4,0.5,1.64,107.5,133.02,143.9,133.43
2.3000000000000003,2.92,4.2,3.8,36.42,0.54,1.7,107.54,133.02,143.96,133.43
2.35,3.07,4.91,3.95,36.44,0.59,1.77,107.58,133.03,144.03,133.43
2.4000000000000004,3.23,4.5,4.1,36.46,0.63,1.83,107.63,133.03,144.09,133.43
2.45,3.39,5.21,4.25,36.49,0.68,1.9,107.68,133.03,144.16,133.43
2.5,3.54,4.81,4.4,36.51,0.72,1.97,107.72,133.03,144.23,133.43
2.5500000000000003,3.69,5.52,4.56,36.53,0.78,2.05,107.77,133.04,144.3,133.43
2.6,3.82,5.13,4.71,36.55,0.83,2.12,107.83,133.04,144.38,133.43
2.6500000000000004,3.95,5.83,4.86,36.58,0.88,2.2,107.88,133.04,144.46,133.43
2.7,4.05,5.45,5.02,36.6,0.94,2.27,107.93,133.04,144.53,133.43
2.75,4.15,6.15,5.17,36.63,0.99,2.36,107.99,133.05,144.62,133.43
2.8000000000000003,4.26,5.77,5.33,36.65,1.05,2.44,108.05,133.05,144.7,133.43
2.85,4.39,6.47,5.49,36.68,1.11,2.53,108.11,133.05,144.79,133.43
