Time (s),Ego Speed (km/h),Lead Speed (km/h),Smoothed Lead Speed (km/h),Distance Between (m),Ego Distance Covered (m),Lead Vehicle Distance Covered (m),Ego X (m),Ego Y (m),Lead X (m),Lead Y (m)
0.0,0.08,1.76,1.76,21.01,0.0,0.0,107.0,133.0,128.0,133.43
0.05,0.06,1.76,1.76,21.01,0.0,0.01,107.0,133.0,128.0,133.43
0.1,0.24,1.76,1.76,21.01,0.0,0.03,107.01,133.0,128.0,133.43
0.15,0.36,1.77,1.76,21.0,0.01,0.04,107.01,133.0,128.0,133.43
0.2,0.0,1.77,1.77,21.0,0.01,0.06,107.01,133.0,128.0,133.43
0.25,0.0,1.77,1.77,21.0,0.01,0.07,107.01,133.0,128.01,133.43
0.3,0.04,1.78,1.77,21.01,0.01,0.09,107.01,133.0,128.01,133.43
0.35,0.07,1.8,1.77,21.01,0.01,0.1,107.01,133.0,128.01,133.43
0.4,0.04,1.82,1.78,21.02,0.01,0.12,107.01,133.0,128.02,133.43
0.45,0.08,1.84,1.78,21.02,0.01,0.14,107.01,133.0,128.03,133.43
0.5,0.07,1.87,1.79,21.03,0.01,0.15,107.02,133.0,128.04,133.43
0.55,0.12,1.91,1.81,21.04,0.01,0.17,107.02,133.0,128.05,133.43
0.6000000000000001,0.11,1.95,1.83,21.05,0.02,0.19,107.02,133.0,128.06,133.43
0.65,0.17,2.0,1.85,21.06,0.02,0.21,107.02,133.0,128.07,133.43
0.7000000000000001,0.16,2.06,1.88,21.07,0.02,0.23,107.02,133.0,128.09,133.43
0.75,0.22,2.13,1.92,21.08,0.02,0.25,107.03,133.0,128.1,133.43
0.8,0.21,2.2,1.96,21.1,0.03,0.28,107.03,133.0,128.12,133.43
0.8500000000000001,0.29,2.28,2.01,21.12,0.03,0.3,107.03,133.0,128.14,133.43
0.9,0.72,2.36,2.06,21.13,0.04,0.33,107.04,133.0,128.16,133.43
0.95,0.94,2.45,2.12,21.14,0.05,0.36,107.05,133.0,128.19,133.43
1.0,1.25,2.54,2.19,21.15,0.06,0.39,107.07,133.0,128.21,133.43
1.05,1.29,2.64,2.26,21.16,0.08,0.42,107.08,133.0,128.24,133.43
1.1,1.35,2.74,2.34,21.17,0.1,0.45,107.1,133.0,128.27,133.43
1.15,1.58,2.84,2.42,21.18,0.12,0.48,107.12,133.01,128.3,133.43
1.2000000000000002,1.37,2.95,2.51,21.19,0.14,0.52,107.15,133.01,128.33,133.43
1.25,1.53,3.06,2.61,21.21,0.16,0.56,107.17,133.01,128.37,133.43
1.3,1.36,3.17,2.7,21.22,0.18,0.6,107.19,133.01,128.4,133.43
1.35,1.14,3.29,2.8,21.24,0.2,0.64,107.2,133.01,128.44,133.43
1.4,1.05,3.41,2.91,21.27,0.21,0.68,107.22,133.01,128.48,133.43
1.4500000000000002,1.06,3.4,3.0,21.3,0.23,0.72,107.23,133.01,128.52,133.43
1.5,1.09,3.19,3.07,21.32,0.24,0.77,107.25,133.01,128.57,133.43
1.55,1.35,3.63,3.17,21.36,0.26,0.82,107.26,133.01,128.62,133.43
1.6,1.67,3.43,3.24,21.38,0.28,0.86,107.29,133.01,128.66,133.43
1.65,1.93,3.9,3.34,21.41,0.31,0.92,107.31,133.01,128.71,133.43
1.7000000000000002,1.97,3.68,3.42,21.43,0.34,0.97,107.34,133.01,128.76,133.43
1.75,2.16,4.19,3.53,21.46,0.37,1.02,107.37,133.02,128.82,133.43
1.8,2.13,3.95,3.61,21.48,0.4,1.08,107.4,133.02,128.88,133.43
1.85,2.17,4.48,3.73,21.51,0.43,1.14,107.43,133.02,128.94,133.43
1.9,2.15,4.22,3.81,21.54,0.46,1.2,107.46,133.02,129.0,133.43
1.95,2.22,4.77,3.95,21.58,0.49,1.27,107.49,133.02,129.06,133.43
2.0,2.36,4.5,4.08,21.61,0.52,1.33,107.52,133.02,129.12,133.43
2.0500000000000003,2.41,5.07,4.22,21.64,0.55,1.4,107.55,133.02,129.19,133.43
2.1,2.41,4.78,4.36,21.68,0.59,1.47,107.59,133.03,129.26,133.43
2.15,2.43,5.36,4.5,21.72,0.62,1.54,107.62,133.03,129.33,133.43
2.2,2.5,5.05,4.64,21.75,0.65,1.61,107.65,133.03,129.4,133.43
2.25,2.61,5.65,4.78,21.79,0.69,1.69,107.69,133.03,129.48,133.43
2.3000000000000003,2.74,5.33,4.92,21.83,0.73,1.76,107.73,133.03,129.56,133.43
2.35,2.89,5.93,5.07,21.87,0.76,1.84,107.77,133.04,129.64,133.43
2.4000000000000004,3.05,5.61,5.2,21.91,0.81,1.92,107.81,133.04,129.72,133.43
2.45,3.19,6.22,5.35,21.95,0.85,2.01,107.85,133.04,129.8,133.43
2.5,3.33,5.88,5.49,21.99,0.9,2.09,107.9,133.04,129.88,133.43
2.5500000000000003,3.44,6.5,5.63,22.03,0.94,2.18,107.94,133.04,129.97,133.43
2.6,3.54,6.16,5.77,22.07,0.99,2.27,107.99,133.05,130.06,133.43
2.6500000000000004,3.63,6.78,5.91,22.11,1.04,2.36,108.04,133.05,130.15,133.43
2.7,3.72,6.44,6.05,22.15,1.09,2.45,108.09,133.05,130.24,133.43
2.75,3.8,7.06,6.19,22.2,1.14,2.55,108.14,133.06,130.34,133.43
2.8000000000000003,3.9,6.71,6.33,22.24,1.2,2.64,108.2,133.06,130.43,133.43
2.85,4.01,7.34,6.47,22.29,1.25,2.74,108.25,133.06,130.54,133.43
2.9000000000000004,4.13,6.99,6.61,22.33,1.31,2.84,108.31,133.07,130.63,133.43
2.95,4.26,7.62,6.75,22.37,1.37,2.94,108.37,133.07,130.74,133.43
