Time (s),Ego Speed (km/h),Lead Speed (km/h),Smoothed Lead Speed (km/h),Distance Between (m),Ego Distance Covered (m),Lead Vehicle Distance Covered (m),Ego X (m),Ego Y (m),Lead X (m),Lead Y (m),Ego Speed (m/s),Smoothed Lead Speed (m/s),Ego Acceleration (m/s²),Lead Acceleration (m/s²),Ego Pos Vel X (m/s),Ego Pos Vel Y (m/s),Ego Accel X (m/s²),Ego Accel Y (m/s²),Ego Accel Magnitude (m/s²),Ego Jerk (m/s³),RSS Safety Distance (m)
0.0,0.0,7.06,7.06,36.01,0.0,0.0,107.0,133.0,143.0,133.43,0.0,1.96,,,,,,,,,0.0
0.05,0.0,8.82,7.94,36.0,0.0,0.11,107.0,133.0,143.0,133.43,0.0,2.21,0.005,4.9,0.0,0.0,,,,,0.0
0.1,0.0,10.58,8.82,36.0,0.0,0.25,107.0,133.0,143.0,133.43,0.0,2.45,0.002,4.9,0.0,0.0,0.0,0.0,0.0,,0.0
0.15000000000000002,0.0,10.75,9.3,36.0,0.0,0.41,107.0,133.0,143.0,133.43,0.0,2.58,-0.004,2.677,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.0,7.77,9.0,36.0,0.0,0.53,107.0,133.0,143.0,133.43,0.0,2.5,0.002,-1.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.0,4.89,8.31,36.0,0.0,0.61,107.0,133.0,143.0,133.43,0.0,2.31,0.001,-3.797,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.30000000000000004,0.0,0.29,7.17,36.0,0.0,0.64,107.0,133.0,143.0,133.43,0.0,1.99,-0.0,-6.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.35000000000000003,0.0,1.26,6.43,36.0,0.0,0.65,107.0,133.0,143.0,133.43,0.0,1.79,-0.001,-4.101,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.05,1.82,5.92,36.0,0.0,0.68,107.0,133.0,143.0,133.43,0.02,1.64,0.295,-2.845,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.45,0.07,0.79,5.4,36.0,0.0,0.68,107.0,133.0,143.0,133.43,0.02,1.5,0.071,-2.846,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.05,0.76,4.77,36.0,0.0,0.69,107.0,133.0,143.0,133.43,0.01,1.33,-0.097,-3.498,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.55,0.07,0.71,3.96,36.0,0.0,0.7,107.0,133.0,143.0,133.43,0.02,1.1,0.12,-4.504,0.02,0.0,0.4,0.0,0.4,7.996,0.0
0.6000000000000001,0.04,0.67,2.97,36.0,0.0,0.7,107.0,133.0,143.0,133.43,0.01,0.83,-0.152,-5.509,0.0,0.0,-0.4,0.0,0.4,0.0,0.0
0.65,0.08,0.63,1.96,36.0,0.0,0.71,107.0,133.0,143.0,133.43,0.02,0.54,0.199,-5.622,0.0,0.0,0.0,0.0,0.0,-7.996,0.0
0.7000000000000001,0.03,0.59,1.24,36.0,0.0,0.71,107.0,133.0,143.0,133.43,0.01,0.34,-0.267,-3.989,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.1,0.55,0.81,36.0,0.0,0.72,107.0,133.0,143.0,133.43,0.03,0.22,0.355,-2.412,0.02,0.0,0.4,0.0,0.4,7.996,0.0
0.8,0.01,0.52,0.83,36.0,0.0,0.72,107.0,133.0,143.0,133.43,0.0,0.23,-0.463,0.129,0.0,0.0,-0.4,0.0,0.4,-0.0,0.0
0.8500000000000001,0.12,0.49,0.75,36.0,0.0,0.73,107.0,133.0,143.0,133.43,0.03,0.21,0.598,-0.43,0.02,0.0,0.4,0.0,0.4,-0.0,0.0
0.9,0.02,0.46,0.62,36.0,0.0,0.73,107.0,133.0,143.0,133.43,0.01,0.17,-0.557,-0.757,0.02,0.0,0.0,0.0,0.0,-7.996,0.0
0.9500000000000001,0.15,0.43,0.58,36.0,0.01,0.74,107.0,133.0,143.0,133.43,0.04,0.16,0.752,-0.203,0.02,0.0,-0.0,0.0,0.0,-0.0,0.0
1.0,0.06,0.4,0.54,35.99,0.01,0.74,107.01,133.0,143.0,133.43,0.02,0.15,-0.539,-0.199,0.04,0.0,0.403,0.0,0.403,8.057,0.0
1.05,0.2,0.77,0.55,36.0,0.01,0.75,107.01,133.0,143.01,133.43,0.05,0.15,0.766,0.031,0.04,0.0,-0.003,0.0,0.003,-7.996,0.0
1.1,0.11,1.32,0.61,36.02,0.01,0.77,107.01,133.0,143.02,133.43,0.03,0.17,-0.5,0.36,0.04,0.02,0.0,0.403,0.403,7.996,0.0
1.1500000000000001,0.25,0.84,0.64,36.03,0.01,0.78,107.01,133.0,143.04,133.43,0.07,0.18,0.803,0.118,0.04,0.0,0.0,-0.403,0.403,0.0,0.0
1.2000000000000002,0.19,1.54,0.73,36.04,0.02,0.8,107.02,133.0,143.06,133.43,0.05,0.2,-0.35,0.529,0.06,0.0,0.4,0.0,0.4,-0.061,0.0
1.25,0.46,1.07,0.78,36.06,0.02,0.82,107.02,133.0,143.07,133.43,0.13,0.22,1.495,0.288,0.1,0.0,0.803,0.0,0.803,8.057,0.0
1.3,0.58,1.79,0.91,36.07,0.03,0.84,107.03,133.0,143.1,133.43,0.16,0.25,0.694,0.705,0.12,0.0,0.397,0.0,0.397,-8.118,0.0
1.35,0.81,1.33,0.99,36.08,0.04,0.86,107.04,133.0,143.12,133.43,0.22,0.28,1.254,0.468,0.22,0.02,2.002,0.397,2.041,32.883,0.0
1.4000000000000001,0.85,2.05,1.15,36.1,0.05,0.89,107.05,133.0,143.15,133.43,0.24,0.32,0.235,0.887,0.22,0.0,0.0,-0.397,0.397,-32.883,0.0
1.4500000000000002,1.02,1.6,1.27,36.11,0.06,0.91,107.06,133.0,143.17,133.43,0.28,0.35,0.975,0.654,0.26,0.02,0.797,0.403,0.893,9.917,0.0
1.5,0.93,2.33,1.46,36.13,0.08,0.94,107.07,133.0,143.2,133.43,0.26,0.41,-0.503,1.073,0.26,0.0,0.003,-0.403,0.403,-9.795,0.0
1.55,1.01,1.89,1.58,36.14,0.09,0.97,107.09,133.0,143.23,133.43,0.28,0.44,0.446,0.624,0.28,0.02,0.4,0.397,0.563,3.208,0.0
1.6,0.94,2.62,1.71,36.16,0.1,1.01,107.1,133.0,143.26,133.43,0.26,0.47,-0.424,0.721,0.26,0.0,-0.4,-0.397,0.563,0.0,0.0
1.6500000000000001,1.2,2.18,1.84,36.18,0.12,1.04,107.12,133.01,143.29,133.43,0.33,0.51,1.479,0.745,0.32,0.02,1.199,0.403,1.265,14.039,0.0
1.7000000000000002,1.33,2.91,1.98,36.2,0.14,1.08,107.14,133.01,143.33,133.43,0.37,0.55,0.683,0.758,0.36,0.02,0.803,-0.006,0.803,-9.251,0.0
1.75,1.55,2.48,2.12,36.22,0.16,1.11,107.16,133.01,143.37,133.43,0.43,0.59,1.258,0.783,0.4,0.02,0.797,0.006,0.797,-0.122,0.0
