Time (s),Ego Speed (km/h),Lead Speed (km/h),Smoothed Lead Speed (km/h),Distance Between (m),Ego Distance Covered (m),Lead Vehicle Distance Covered (m),Ego X (m),Ego Y (m),Lead X (m),Lead Y (m),Ego Speed (m/s),Smoothed Lead Speed (m/s),Ego Acceleration (m/s²),Lead Acceleration (m/s²),Ego Pos Vel X (m/s),Ego Pos Vel Y (m/s),Ego Accel X (m/s²),Ego Accel Y (m/s²),Ego Accel Magnitude (m/s²),Ego Jerk (m/s³),RSS Safety Distance (m)
0.0,0.0,8.82,8.82,26.01,0.0,0.0,107.0,133.0,133.0,133.43,0.0,2.45,,,,,,,,,0.0
0.05,0.0,10.58,9.7,26.0,0.0,0.14,107.0,133.0,133.0,133.43,0.0,2.7,0.005,4.9,0.0,0.0,,,,,0.0
0.1,0.0,10.75,10.05,26.0,0.0,0.29,107.0,133.0,133.0,133.43,0.0,2.79,0.002,1.936,0.0,0.0,0.0,0.0,0.0,,0.0
0.15000000000000002,0.0,7.77,9.48,26.0,0.0,0.42,107.0,133.0,133.0,133.43,0.0,2.63,-0.004,-3.169,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.0,4.89,8.56,26.0,0.0,0.5,107.0,133.0,133.0,133.43,0.0,2.38,0.002,-5.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.29,7.18,26.0,0.0,0.53,107.0,133.0,133.0,133.43,0.0,2.0,0.001,-7.664,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.30000000000000004,0.0,1.26,6.34,26.0,0.0,0.54,107.0,133.0,133.0,133.43,0.0,1.76,-0.0,-4.701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.35000000000000003,0.05,1.82,5.77,26.0,0.0,0.56,107.0,133.0,133.0,133.43,0.01,1.6,0.277,-3.138,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.07,0.79,5.22,26.0,0.0,0.57,107.0,133.0,133.0,133.43,0.02,1.45,0.101,-3.074,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.45,0.05,0.76,4.77,26.0,0.0,0.58,107.0,133.0,133.0,133.43,0.01,1.33,-0.117,-2.478,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5,0.07,0.71,3.96,26.0,0.0,0.58,107.0,133.0,133.0,133.43,0.02,1.1,0.133,-4.504,0.02,0.0,0.4,0.0,0.4,7.996,0.0
0.55,0.04,0.67,2.97,26.0,0.0,0.59,107.0,133.0,133.0,133.43,0.01,0.83,-0.161,-5.509,0.0,0.0,-0.4,0.0,0.4,-0.0,0.0
0.6000000000000001,0.08,0.63,1.96,26.0,0.0,0.6,107.0,133.0,133.0,133.43,0.02,0.54,0.208,-5.622,0.0,0.0,0.0,0.0,0.0,-7.996,0.0
0.65,0.03,0.59,1.24,26.0,0.0,0.6,107.0,133.0,133.0,133.43,0.01,0.34,-0.275,-3.989,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7000000000000001,0.1,0.55,0.81,26.0,0.0,0.61,107.0,133.0,133.0,133.43,0.03,0.22,0.361,-2.412,0.02,0.0,0.4,0.0,0.4,7.996,0.0
0.75,0.01,0.52,0.83,26.0,0.0,0.61,107.0,133.0,133.0,133.43,0.0,0.23,-0.467,0.129,0.0,0.0,-0.4,0.0,0.4,0.0,0.0
0.8,0.12,0.49,0.75,26.0,0.0,0.61,107.0,133.0,133.0,133.43,0.03,0.21,0.593,-0.43,0.02,0.0,0.4,0.0,0.4,-0.0,0.0
0.8500000000000001,0.02,0.46,0.62,26.0,0.0,0.62,107.0,133.0,133.0,133.43,0.0,0.17,-0.574,-0.757,0.02,0.0,0.0,0.0,0.0,-7.996,0.0
0.9,0.15,0.43,0.58,26.0,0.01,0.62,107.0,133.0,133.0,133.43,0.04,0.16,0.738,-0.203,0.02,0.0,0.0,0.0,0.0,0.0,0.0
0.9500000000000001,0.05,0.43,0.55,25.99,0.01,0.63,107.01,133.0,133.0,133.43,0.01,0.15,-0.554,-0.18,0.04,0.0,0.403,0.0,0.403,8.057,0.0
1.0,0.19,0.64,0.54,26.0,0.01,0.64,107.01,133.0,133.01,133.43,0.05,0.15,0.776,-0.038,0.02,0.0,-0.403,0.0,0.403,0.0,0.0
1.05,0.11,1.32,0.61,26.02,0.01,0.65,107.01,133.0,133.02,133.43,0.03,0.17,-0.457,0.365,0.04,0.02,0.4,0.403,0.568,3.294,0.0
1.1,0.26,0.85,0.63,26.03,0.01,0.67,107.01,133.0,133.04,133.43,0.07,0.17,0.851,0.123,0.06,0.0,0.4,-0.403,0.568,0.0,0.0
