Time (s),Ego Speed (km/h),Lead Speed (km/h),Smoothed Lead Speed (km/h),Distance Between (m),Ego Distance Covered (m),Lead Vehicle Distance Covered (m),Ego X (m),Ego Y (m),Lead X (m),Lead Y (m),Ego Speed (m/s),Smoothed Lead Speed (m/s),Ego Acceleration (m/s²),Lead Acceleration (m/s²),Ego Pos Vel X (m/s),Ego Pos Vel Y (m/s),Ego Accel X (m/s²),Ego Accel Y (m/s²),Ego Accel Magnitude (m/s²),Ego Jerk (m/s³),RSS Safety Distance (m)
0.0,0.0,8.82,8.82,36.0,0.0,0.0,107.0,133.0,143.0,133.43,0.0,2.45,,,,,,,,,0.0
0.05,0.0,10.58,9.7,36.0,0.0,0.14,107.0,133.0,143.0,133.43,0.0,2.7,0.005,4.9,0.0,0.0,,,,,0.0
0.1,0.0,10.75,10.05,36.0,0.0,0.29,107.0,133.0,143.0,133.43,0.0,2.79,0.002,1.936,0.0,0.0,0.0,0.0,0.0,,0.0
0.15000000000000002,0.0,7.77,9.48,36.0,0.0,0.42,107.0,133.0,143.0,133.43,0.0,2.63,-0.004,-3.169,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.0,4.89,8.56,36.0,0.0,0.5,107.0,133.0,143.0,133.43,0.0,2.38,0.002,-5.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.29,7.18,36.0,0.0,0.53,107.0,133.0,143.0,133.43,0.0,2.0,0.001,-7.664,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.30000000000000004,0.0,1.26,6.34,36.0,0.0,0.54,107.0,133.0,143.0,133.43,0.0,1.76,-0.0,-4.701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.35000000000000003,0.01,1.82,5.77,36.0,0.0,0.56,107.0,133.0,143.0,133.43,0.0,1.6,0.042,-3.138,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.04,0.79,5.22,36.0,0.0,0.57,107.0,133.0,143.0,133.43,0.01,1.45,0.148,-3.074,0.02,0.0,0.4,0.0,0.4,7.996,0.0
0.45,0.0,0.76,4.77,36.0,0.0,0.58,107.0,133.0,143.0,133.43,0.0,1.33,-0.169,-2.478,0.0,0.0,-0.4,0.0,0.4,0.0,0.0
0.5,0.03,0.71,3.96,36.0,0.0,0.58,107.0,133.0,143.0,133.43,0.01,1.1,0.163,-4.504,0.0,0.0,0.0,0.0,0.0,-7.996,0.0
0.55,0.01,0.67,2.97,36.0,0.0,0.59,107.0,133.0,143.0,133.43,0.0,0.83,-0.154,-5.509,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6000000000000001,0.04,0.63,1.96,36.0,0.0,0.6,107.0,133.0,143.0,133.43,0.01,0.54,0.202,-5.622,0.02,0.0,0.4,0.0,0.4,7.996,0.0
0.65,0.02,0.59,1.24,36.0,0.0,0.6,107.0,133.0,143.0,133.43,0.0,0.34,-0.141,-3.989,0.0,0.0,-0.4,0.0,0.4,0.0,0.0
0.7000000000000001,0.06,0.55,0.81,36.0,0.0,0.61,107.0,133.0,143.0,133.43,0.02,0.22,0.229,-2.412,0.02,0.0,0.4,0.0,0.4,-0.0,0.0
0.75,0.04,0.52,0.83,36.0,0.0,0.61,107.0,133.0,143.0,133.43,0.01,0.23,-0.121,0.129,0.0,0.0,-0.4,0.0,0.4,0.0,0.0
0.8,0.08,0.49,0.75,36.0,0.0,0.61,107.0,133.0,143.0,133.43,0.02,0.21,0.25,-0.43,0.02,0.0,0.4,0.0,0.4,-0.0,0.0
0.8500000000000001,0.06,0.46,0.62,36.0,0.01,0.62,107.0,133.0,143.0,133.43,0.02,0.17,-0.107,-0.757,0.02,0.0,0.0,0.0,0.0,-7.996,0.0
0.9,0.11,0.43,0.58,35.99,0.01,0.62,107.01,133.0,143.0,133.43,0.03,0.16,0.266,-0.203,0.02,0.0,0.0,0.0,0.0,0.0,0.0
0.9500000000000001,0.09,0.74,0.58,36.0,0.01,0.63,107.01,133.0,143.01,133.43,0.03,0.16,-0.098,-0.012,0.04,0.0,0.403,0.0,0.403,8.057,0.0
1.0,0.14,1.28,0.63,36.02,0.01,0.65,107.01,133.0,143.02,133.43,0.04,0.18,0.269,0.314,0.02,0.0,-0.403,0.0,0.403,0.0,0.0
1.05,0.12,0.8,0.65,36.03,0.01,0.66,107.01,133.0,143.04,133.43,0.03,0.18,-0.09,0.075,0.04,0.0,0.4,0.0,0.4,-0.061,0.0
1.1,0.18,1.5,0.74,36.05,0.01,0.68,107.01,133.0,143.06,133.43,0.05,0.2,0.283,0.487,0.04,0.02,0.0,0.403,0.403,0.061,0.0
1.1500000000000001,0.16,1.03,0.78,36.06,0.02,0.7,107.02,133.0,143.07,133.43,0.04,0.22,-0.082,0.247,0.06,0.0,0.4,-0.403,0.568,3.294,0.0
1.2000000000000002,0.21,1.75,0.9,36.08,0.02,0.72,107.02,133.0,143.1,133.43,0.06,0.25,0.287,0.666,0.04,0.0,-0.4,0.0,0.4,-3.355,0.0
1.25,0.2,1.29,0.98,36.1,0.02,0.74,107.02,133.0,143.11,133.43,0.06,0.27,-0.07,0.428,0.06,0.0,0.403,0.0,0.403,0.061,0.0
1.3,0.26,2.01,1.13,36.12,0.03,0.77,107.03,133.0,143.14,133.43,0.07,0.31,0.308,0.849,0.08,0.0,0.397,0.0,0.397,-0.122,0.0
1.35,0.27,1.56,1.24,36.14,0.03,0.79,107.03,133.0,143.16,133.43,0.07,0.34,0.051,0.614,0.06,0.0,-0.4,0.0,0.4,0.061,0.0
1.4000000000000001,0.77,2.29,1.43,36.16,0.04,0.82,107.04,133.0,143.19,133.43,0.21,0.4,2.796,1.034,0.16,0.0,2.002,0.0,2.002,32.043,0.0
1.4500000000000002,0.99,1.84,1.54,36.17,0.05,0.85,107.05,133.0,143.22,133.43,0.27,0.43,1.21,0.615,0.26,0.02,1.999,0.397,2.038,0.719,0.0
1.5,1.19,2.57,1.67,36.19,0.07,0.88,107.07,133.0,143.26,133.43,0.33,0.46,1.135,0.718,0.32,0.02,1.199,0.006,1.199,-16.771,0.0
1.55,1.16,2.14,1.8,36.21,0.08,0.91,107.08,133.0,143.29,133.43,0.32,0.5,-0.158,0.74,0.34,0.0,0.4,-0.403,0.568,-12.636,0.0
1.6,1.12,2.86,1.93,36.23,0.1,0.95,107.1,133.0,143.32,133.43,0.31,0.54,-0.217,0.753,0.3,0.02,-0.8,0.397,0.893,6.501,0.0
1.6500000000000001,1.01,2.43,2.07,36.25,0.11,0.99,107.11,133.01,143.36,133.43,0.28,0.58,-0.614,0.775,0.3,0.02,0.0,0.006,0.006,-17.729,0.0
1.7000000000000002,1.23,3.15,2.21,36.27,0.13,1.03,107.13,133.01,143.4,133.43,0.34,0.61,1.196,0.778,0.34,0.0,0.8,-0.403,0.895,17.784,0.0
1.75,1.24,2.72,2.36,36.3,0.15,1.07,107.15,133.01,143.44,133.43,0.35,0.65,0.089,0.798,0.34,0.02,0.003,0.397,0.397,-9.971,0.0
1.8,1.43,3.44,2.5,36.32,0.17,1.11,107.17,133.01,143.49,133.43,0.4,0.69,1.059,0.794,0.38,0.02,0.797,0.006,0.797,7.996,0.0
1.85,1.81,3.02,2.65,36.34,0.19,1.16,107.19,133.01,143.53,133.43,0.5,0.74,2.092,0.811,0.46,0.02,1.602,-0.006,1.602,16.113,0.0
1.9000000000000001,1.79,3.73,2.79,36.37,0.21,1.21,107.21,133.01,143.58,133.43,0.5,0.78,-0.12,0.804,0.5,0.02,0.797,0.006,0.797,-16.113,0.0
1.9500000000000002,1.98,3.32,2.94,36.39,0.24,1.26,107.24,133.01,143.63,133.43,0.55,0.82,1.082,0.818,0.54,0.02,0.803,-0.006,0.803,0.122,0.0
2.0,2.01,4.03,3.08,36.42,0.27,1.31,107.27,133.01,143.68,133.43,0.56,0.86,0.165,0.809,0.54,0.04,0.0,0.403,0.403,-7.996,0.0
2.0500000000000003,2.21,3.61,3.23,36.44,0.3,1.36,107.3,133.01,143.73,133.43,0.61,0.9,1.111,0.82,0.6,0.02,1.199,-0.397,1.263,17.208,0.0
2.1,2.22,4.32,3.38,36.47,0.33,1.42,107.33,133.01,143.79,133.43,0.62,0.94,0.055,0.812,0.62,0.04,0.403,0.397,0.565,-13.957,0.0
2.15,2.29,3.91,3.53,36.49,0.36,1.48,107.36,133.02,143.85,133.43,0.64,0.98,0.361,0.824,0.62,0.02,-0.003,-0.397,0.397,-3.373,0.0
2.2,2.35,4.62,3.67,36.52,0.39,1.54,107.39,133.02,143.91,133.43,0.65,1.02,0.314,0.817,0.66,0.04,0.8,0.397,0.893,9.917,0.0
2.25,2.48,4.21,3.82,36.55,0.43,1.6,107.43,133.02,143.97,133.43,0.69,1.06,0.76,0.827,0.66,0.02,0.003,-0.403,0.403,-9.795,0.0
2.3000000000000003,2.59,4.92,3.97,36.58,0.46,1.67,107.46,133.02,144.04,133.43,0.72,1.1,0.598,0.82,0.7,0.04,0.797,0.403,0.893,9.795,0.0
2.35,2.74,4.51,4.12,36.61,0.5,1.73,107.5,133.02,144.1,133.43,0.76,1.14,0.81,0.83,0.74,0.04,0.803,0.0,0.803,-1.799,0.0
2.4000000000000004,2.88,5.22,4.27,36.64,0.54,1.8,107.54,133.02,144.17,133.43,0.8,1.19,0.797,0.825,0.8,0.04,1.199,-0.0,1.199,7.935,0.0
2.45,3.05,4.82,4.42,36.67,0.58,1.87,107.58,133.03,144.24,133.43,0.85,1.23,0.95,0.835,0.82,0.04,0.4,0.0,0.4,-15.991,0.0
2.5,3.14,5.52,4.57,36.7,0.62,1.94,107.62,133.03,144.32,133.43,0.87,1.27,0.514,0.832,0.86,0.04,0.8,0.006,0.8,7.996,0.0
2.5500000000000003,3.24,5.13,4.72,36.73,0.67,2.02,107.67,133.03,144.39,133.43,0.9,1.31,0.524,0.843,0.88,0.04,0.4,-0.006,0.4,-7.995,0.0
2.6,3.28,5.83,4.87,36.76,0.71,2.1,107.71,133.03,144.47,133.43,0.91,1.35,0.244,0.836,0.92,0.04,0.8,0.0,0.8,7.995,0.0
2.6500000000000004,3.36,5.43,5.02,36.79,0.76,2.17,107.76,133.04,144.55,133.43,0.93,1.4,0.429,0.846,0.92,0.06,0.003,0.397,0.397,-8.056,0.0
2.7,3.41,6.13,5.17,36.83,0.81,2.26,107.8,133.04,144.63,133.43,0.95,1.44,0.293,0.837,0.94,0.04,0.397,-0.397,0.561,3.286,0.0
2.75,3.51,5.74,5.33,36.86,0.85,2.34,107.85,133.04,144.71,133.43,0.98,1.48,0.577,0.847,0.96,0.06,0.4,0.403,0.568,0.13,0.0
2.8000000000000003,3.61,6.43,5.48,36.9,0.9,2.43,107.9,133.04,144.8,133.43,1.0,1.52,0.513,0.838,0.98,0.04,0.403,-0.403,0.57,0.043,0.0
