Time (s),Ego Speed (km/h),Lead Speed (km/h),Smoothed Lead Speed (km/h),Distance Between (m),Ego Distance Covered (m),Lead Vehicle Distance Covered (m),Ego X (m),Ego Y (m),Lead X (m),Lead Y (m)
0.0,0.06,7.06,7.06,16.01,0.0,0.0,107.0,133.0,123.0,133.43
0.05,0.02,1.76,4.41,16.01,0.0,0.01,107.0,133.0,123.0,133.43
0.1,0.04,1.76,3.53,16.01,0.0,0.03,107.0,133.0,123.0,133.43
0.15,0.05,1.76,3.09,16.01,0.0,0.04,107.0,133.0,123.0,133.43
0.2,0.06,1.77,2.82,16.01,0.0,0.06,107.0,133.0,123.0,133.43
0.25,0.07,1.77,2.65,16.01,0.0,0.07,107.0,133.0,123.0,133.43
0.3,0.07,1.78,2.52,16.01,0.0,0.09,107.0,133.0,123.01,133.43
0.35,0.07,1.79,2.43,16.02,0.01,0.1,107.01,133.0,123.01,133.43
0.4,0.07,1.8,2.36,16.02,0.01,0.12,107.01,133.0,123.02,133.43
0.45,0.01,1.82,2.31,16.02,0.01,0.14,107.01,133.0,123.02,133.43
0.5,0.03,1.85,1.79,16.03,0.01,0.15,107.01,133.0,123.03,133.43
0.55,0.01,1.88,1.8,16.04,0.01,0.17,107.01,133.0,123.04,133.43
0.6000000000000001,0.03,1.91,1.81,16.05,0.01,0.19,107.01,133.0,123.05,133.43
0.65,0.01,1.96,1.83,16.06,0.01,0.21,107.01,133.0,123.06,133.43
0.7000000000000001,0.04,2.01,1.86,16.07,0.01,0.23,107.01,133.0,123.07,133.43
0.75,0.02,2.07,1.89,16.09,0.01,0.25,107.01,133.0,123.09,133.43
0.8,0.06,2.13,1.92,16.1,0.01,0.27,107.01,133.0,123.11,133.43
0.8500000000000001,0.04,2.21,1.96,16.12,0.01,0.29,107.01,133.0,123.12,133.43
0.9,0.08,2.28,2.01,16.14,0.01,0.32,107.01,133.0,123.14,133.43
0.95,0.06,2.36,2.07,16.16,0.01,0.34,107.01,133.0,123.17,133.43
1.0,0.11,2.45,2.13,16.18,0.01,0.37,107.01,133.0,123.19,133.43
1.05,0.09,2.54,2.19,16.21,0.01,0.4,107.01,133.0,123.21,133.43
1.1,0.14,2.64,2.27,16.23,0.02,0.43,107.02,133.0,123.24,133.43
1.15,0.12,2.75,2.34,16.26,0.02,0.47,107.02,133.0,123.27,133.43
